; [Site "BackgammonGalaxy"]
; [Match ID "8239468"]
; [Player 1 "debitaylor"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.05.26"]
; [EventTime "14.30"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 debitaylor : 0                  lasse : 0
  1)                             41: 13/9 24/23
  2) 53: 8/3 6/3                 62: 13/7 9/7
  3) 43: 13/9 24/21              53: 24/21 21/16
  4) 41: 25/24 13/9              52: 25/20 6/4
  5) 32: 25/23 24/21             53: 25/20 23/20
  6) 61: 21/15 9/8               21: 13/11 11/10
  7) 42: 25/21 23/21             42: 20/16 10/8
  8) 11: 21/20 21/20 24/23 23/22 53: 8/3 6/3
  9) 55: 25/20 6/1 6/1 13/8      64: 16/10 10/6
 10) 21: 3/1 3/2                 53: 7/2 7/4
 11) 41: 20/16 16/15             21: 13/11 11/10
 12) 53: 25/20 6/3               31: 13/10 20/19
 13) 55: 25/20 8/3 13/8 8/3      22: 20/18 18/16 16/14 14/12
 14) 53: 25/20 8/5               55: 19/14 14/9 9/4 6/1
 15) 52: 20/18 18/13             21: 25/23 2/1
 16) 64:                         62: 23/21 21/15
 17) 31:                         41: 8/4 15/14
 18) 32: 25/23 13/10             44: 10/6 6/2 6/2 10/6
 19) 63:                         55: 14/9 9/4 8/3 8/3
 20) 31:                         31: 6/3 3/2
 21) 65: 25/20 20/14             21: 2/0 1/0
 22) 41: 20/16 14/13             64: 6/0 6/2
 23) 62: 20/14 20/18             54: 4/0 4/0
 24) 54: 20/15 8/4               54: 4/0 4/0
 25) 54: 10/5 8/4                43: 3/0 3/0
 26) 52: 13/8 8/6                44: 3/0 3/0 2/0 2/0
 27) 65: 15/9 14/9               21: 2/0 1/0
                                  Wins 1 point

