; [Site "BackgammonGalaxy"]
; [Match ID "8242547"]
; [Player 1 "lasse"]
; [Player 2 "oshama7"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.26"]
; [EventTime "16.50"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       oshama7 : 0
  1) 62: 24/18 13/11             61: 13/7 8/7
  2) 43: 25/21 24/21             42: 24/20 13/11
  3) 21: 6/5 13/11               41: 25/21 21/20
  4) 51: 25/20 6/5               63: 25/22 11/5
  5) 11: 25/24 6/5 21/20 21/20   22: 25/23 24/22 6/4 6/4
  6) 21: 24/22 8/7               63: 13/7 6/3
  7) 44:                         21: 23/21 22/21
  8) 62: 25/23 13/7              32: 7/4 3/1
  9) 31: 23/20 11/10             32: 4/1 4/2
 10) 11: 10/9 9/8 8/7 7/6        32: 6/3 6/4
 11) 66: 20/14 20/14 20/14 14/8  52: 21/16 16/14
 12) 32: 25/22 22/20             62: 25/23 14/8
 13) 11: 6/5 5/4 4/3 8/7         66:
 14) 42: 7/3 8/6                 66:
 15) 43: 8/4 7/4                 41: 25/24
 16) 63: 13/7 13/10              53:
 17) 54: 7/2 6/2                 51: 25/24
 18) 64: 20/14 14/10             63:
 19) 41: 14/10 10/9              11: 25/24 7/6 7/6 8/7
 20) 51: 14/9 7/6                54: 7/2 13/9
 21) 52: 9/4 10/8                54: 13/8 9/5
 22) 61: 9/3 10/9                54: 8/3 8/4
 23) 41: 9/5 3/2                 52: 8/3 4/2
 24) 63: 8/2 6/3                 33: 6/3 6/3 4/1 5/2
 25) 61: 6/0 6/5                 53: 24/19 19/16
 26) 53: 5/0 5/2                 41: 16/12 12/11
 27) 62: 5/0 5/3                 44: 24/20 11/7 20/16 16/12
 28) 53: 4/0 3/0                 51: 12/7 7/6
 29) 53: 4/0 4/1                 41: 25/24 24/20
 30) 65: 25/19 19/14             42: 25/21 7/5
 31) 32: 14/11 11/9              65: 21/16 20/14
 32) 21:                         53: 14/9 16/13
 33) 61: 25/19 2/1               64: 13/7 9/5
 34) 52: 19/14 14/12             64: 7/1 4/0
 35) 51: 12/7 7/6                32: 3/0 2/0
 36) 53: 6/1 3/0                 51: 5/0 1/0
 37) 64: 3/0 3/0                 31: 3/0 1/0
 38) 32: 2/0 2/0                 43: 5/1 3/0
 39) 51: 2/0 1/0                 62: 3/0 2/0
 40) 33: 2/0 1/0
      Wins 1 point and the match
