; [Site "BackgammonGalaxy"]
; [Match ID "8256564"]
; [Player 1 "lasse"]
; [Player 2 "kayhan"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.05.27"]
; [EventTime "06.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       kayhan : 0
  1) 62: 24/18 13/11             31: 8/7 24/21
  2) 41: 25/21 21/20             53: 24/21 6/1
  3) 52: 25/20 20/18             61: 25/24 13/7
  4) 62: 25/23 20/14             22: 13/11 6/4 6/4 13/11
  5) 63: 25/22 22/16             64: 13/7 13/9
  6) 42: 25/23 13/9              21: 11/9 24/23
  7) 65: 9/3 8/3                 44: 9/5 9/5 7/3 7/3
  8) 41: 13/9 9/8                21: 23/21 11/10
  9) 64: 13/7 11/7               21: 21/20 10/8
 10) 31: 8/5 6/5                 66:
 11) 21: 13/11 6/5               66:
 12) 41: 11/7 7/6                32: 25/23 8/5
 13) 42: 6/2 5/3                 41: 25/21 5/4
 14) 41: 6/2 3/2                 43: 8/4 8/5
 15) 41: 7/3 7/6                 63: 21/15 4/1
 16) 43: 5/1 5/2                 41: 15/11 11/10
 17) 41: 6/2 2/1                 66: 21/15 21/15 15/9 15/9
 18) 21: 8/6 2/1                  Doubles => 2
 19)  Drops                       Wins 1 point

