; [Site "BackgammonGalaxy"]
; [Match ID "8258076"]
; [Player 1 "lasse"]
; [Player 2 "makwan1361"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.27"]
; [EventTime "08.39"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       makwan1361 : 0
  1)                             53: 8/3 6/3
  2) 54: 24/20 13/8              32: 8/5 13/11
  3) 53: 25/20 20/17             61: 25/24
  4) 42: 8/4 6/4                 55: 25/20 13/8 6/1 6/1
  5) 33:                         53: 13/8 13/10
  6) 41: 25/21                   54: 13/8 24/20
  7) 52: 25/23 21/16             53: 10/5 8/5
  8) 64: 16/10 10/6              32: 11/8 8/6
  9) 64: 8/2 6/2                 61: 8/2 6/5
 10) 51:                         43: 24/20 5/2
 11) 33:                         31: 8/5 5/4
 12) 42: 25/21 6/4               41: 25/24 20/16
 13) 55: 21/16 16/11 11/6 13/8   52: 16/14 14/9
 14) 32: 13/10 10/8              22: 20/18 20/18 6/4 6/4
 15)  Doubles => 2                Takes
 16) 11: 6/5 6/5 13/12 13/12     42: 9/5 5/3
 17) 51: 8/3 4/3                 52: 18/16 16/11
 18) 32: 12/9 9/7                42:
 19) 64: 12/6 7/3                41: 25/24 11/7
 20) 65: 8/3 8/2                 41: 7/3 3/2
 21) 52: 8/3 6/4                 44: 5/1 5/1
 22) 65: 6/0 5/0                 43: 24/20 20/17
 23) 11:                         64: 17/11 24/20
 24) 66: 25/19 19/13 13/7 7/1    42:
 25) 21: 6/4 2/1                 52: 25/20 20/18
 26) 61: 4/0 3/2                 61: 18/12 20/19
 27) 44: 4/0 4/0 4/0 3/0         63: 12/6 19/16
 28) 61: 3/0 1/0                 54: 11/6 16/12
 29) 42: 3/0 2/0                 61: 12/6 1/0
 30) 52: 3/0 2/0                  Losses 2 point
      Wins 2 point
