; [Site "BackgammonGalaxy"]
; [Match ID "8296138"]
; [Player 1 "walnut"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "6,00/0"]
; [EventDate "2024.05.28"]
; [EventTime "17.18"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 walnut : 0                      lasse : 0
  1) 52: 24/22 13/8              63: 24/18 18/15
  2) 62: 24/18 18/16             41: 13/9 9/8
  3) 43: 25/21 13/10             44: 25/21 8/4 8/4 24/20
  4) 51: 25/24 10/5              64: 25/21 21/15
  5) 53: 13/10 10/5              42: 25/21 13/11
  6) 52: 24/22 13/8              11: 6/5 6/5 13/12 11/10
  7) 32: 25/22 8/6                Doubles => 2
  8)  Takes                      62: 12/10 21/15
  9) 65: 22/16 16/11             32: 21/18 15/13
 10) 52: 8/3 5/3                 41: 18/14 13/12
 11) 66:                         31: 12/9 10/9
 12) 51: 25/24 8/3               53: 13/10 14/9
 13) 54: 22/18 18/13             63: 9/3 6/3
 14) 32: 25/23 13/10             54: 10/5 10/6
 15) 62: 24/18 10/8              32: 5/2 9/7
 16) 21: 25/24 25/23             21: 25/24 9/7
 17) 65: 6/1 8/2                 55: 25/20 7/2 7/2 6/1
 18) 53:                         63: 13/7 8/5
 19)  Losses 6 point              Wins 6 point

