; [Site "BackgammonGalaxy"]
; [Match ID "8314918"]
; [Player 1 "lasse"]
; [Player 2 "jerka"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.05.29"]
; [EventTime "11.44"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       jerka : 0
  1)                             52: 13/8 24/22
  2) 43: 6/3 13/9                52: 25/20 24/22
  3) 22: 25/23 13/11 11/9 24/22  33: 6/3 6/3 8/5 8/5
  4) 53:                         42: 22/18 20/18
  5) 64: 25/21 8/2                Doubles => 2
  6)  Takes                      65: 13/7 7/2
  7) 33:                         65: 8/2 13/8
  8) 63:                         22: 8/6 6/4 6/4 13/11
  9) 52:                         52: 18/13 11/9
 10) 41: 25/24                   55: 18/13 13/8 13/8 13/8
 11) 43:                         65: 8/2 9/4
 12) 42:                         54: 8/3 8/4
 13) 41: 25/24 9/5               32: 8/5 2/0
 14) 33: 8/5 6/3 6/3 13/10       53: 5/0 3/0
 15) 33: 10/7 7/4 8/5 5/2        11: 6/5 6/5 4/3 3/2
 16) 55: 24/19 13/8 9/4 19/14    32: 2/0 5/2
 17) 21: 14/12 8/7               63: 5/0 5/2
 18) 61: 12/6 13/12              66: 5/0 4/0 4/0 4/0
 19) 31: 24/21 21/20             65: 3/0 3/0
 20) 63: 24/18 20/17             53: 2/0 2/0
 21) 54: 18/13 17/13             42: 2/0 2/0
                                  Wins 4 point

