; [Site "BackgammonGalaxy"]
; [Match ID "8346014"]
; [Player 1 "alea_iacta_est"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.05.30"]
; [EventTime "15.58"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 alea_iacta_est : 0              lasse : 0
  1)                             61: 13/7 8/7
  2) 22: 13/11 13/11 6/4 6/4     66: 24/18 24/18 13/7 13/7
  3) 33: 24/21 24/21 8/5 8/5     21: 7/5 6/5
  4) 21: 8/6 6/5                 51: 7/2 6/5
  5) 11: 11/10 11/10 10/9 10/9   32: 6/3 5/3
  6) 64: 13/9 9/3                65: 13/7 13/8
  7) 31: 6/3 5/4                 32: 7/5 5/2
  8) 41: 9/5 9/8                 41: 18/17 17/13
  9) 53:                         33: 18/15 13/10 10/7 8/5
 10) 63:                         64: 7/1 5/1
 11) 32:                         11: 15/14 8/7 8/7 7/6
 12) 52:                         31: 14/11 7/6
 13) 43: 25/21 13/10             32: 11/8 8/6
 14) 32: 10/7 13/11              41: 7/3 7/6
 15) 43: 21/17 17/14             44: 6/2 6/2 6/2 6/2
 16) 61: 14/8 8/7                33: 6/3 6/3 3/0 3/0
 17) 61: 11/5 7/6                53: 5/0 5/2
 18)  Losses 1 point              Wins 1 point

