; [Site "BackgammonGalaxy"]
; [Match ID "8376442"]
; [Player 1 "lasse"]
; [Player 2 "meg_228"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.05.31"]
; [EventTime "19.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       meg_228 : 0
  1)                             43: 24/20 13/10
  2) 65: 24/18 18/13             42: 24/20 13/11
  3) 55: 13/8 8/3 8/3 13/8       41: 11/7 8/7
  4) 53: 24/21 21/16             11: 10/9 6/5 6/5 9/8
  5) 64: 25/21 21/15             31: 13/10 10/9
  6) 52: 25/23 13/8              51: 8/3 3/2
  7) 64: 25/21 21/15             31: 13/10 10/9
  8) 21: 25/23 13/12             42: 25/23 25/21
  9) 61: 23/22 12/6              61: 20/14 21/20
 10) 65: 13/7 7/2                32: 25/23 23/20
 11) 65:                         11: 14/13 13/12 12/11 11/10
 12) 41: 25/24 25/21             31: 10/7 7/6
 13) 61: 22/21 8/2               66: 7/1 7/1 9/3 9/3
 14) 54: 25/21 21/16              Doubles => 2
 15)  Takes                      43: 6/2 6/3
 16) 31: 6/3 3/2                 32: 8/5 8/6
 17) 53: 21/16 21/18             44: 20/16 20/16 20/16 6/2
 18) 65: 18/12 12/7              11: 16/15 16/15 16/15 5/4
 19) 61: 7/1 6/5                 41: 6/2 6/5
 20) 32: 8/5 6/4                 51: 5/4 15/10
 21) 51: 6/1 16/15               54: 25/21 15/10
 22) 11:                         11: 10/9 15/14 14/13 13/12
 23) 43:                         33: 21/18 18/15 15/12 12/9
 24) 31:                         43: 12/8 8/5
 25) 32:                         32: 9/6 6/4
 26) 43:                         51: 9/4 5/4
 27) 44:                         11: 3/2 2/1 1/0 4/3
 28) 21:                         52: 5/0 5/3
 29) 55: 25/20 25/20 25/20 20/15 31: 3/0 1/0
 30) 54: 15/10 10/6              63: 4/0 3/0
 31) 32: 20/17 8/6               66: 4/0 4/0 4/0 3/0
 32) 31: 20/17 17/16             64: 3/0 2/0
 33) 55: 16/11 11/6 17/12 8/3    65: 2/0 2/0
 34) 51: 12/7 5/4                54: 1/0
                                  Wins 4 point

