; [Site "BackgammonGalaxy"]
; [Match ID "8377216"]
; [Player 1 "notsosmart"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.05.31"]
; [EventTime "20.21"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 notsosmart : 0                  lasse : 0
  1)                             65: 24/18 18/13
  2) 54: 13/8 13/9               61: 13/7 8/7
  3) 54: 9/4 8/4                 51: 13/8 8/7
  4) 51: 13/8 24/23              64: 8/2 6/2
  5) 54: 25/20 24/20             61: 8/7 24/18
  6) 66: 20/14 20/14 13/7 13/7   43: 25/22 13/9
  7)  Doubles => 2                Takes
  8) 33: 6/3 6/3 8/5 8/5         43:
  9) 11: 14/13 14/13 6/5 5/4     65:
 10) 21: 8/6 8/7                 61: 25/24 9/3
 11) 43: 13/9 13/10              51: 13/8 6/5
 12) 42: 7/3 3/1                 21: 25/24 7/5
 13) 41: 25/21 10/9              64: 7/3 8/2
 14) 32: 9/6 9/7                 64: 13/7 7/3
 15) 51: 6/1 6/5                 64:
 16) 51: 7/2 2/1                 62: 25/23 23/17
 17) 53: 7/2 5/2                 22: 6/4 6/4 6/4 17/15
 18) 11: 25/24 4/3 3/2 7/6        Doubles => 4
 19)  Drops                       Wins 2 point

