; [Site "BackgammonGalaxy"]
; [Match ID "8390634"]
; [Player 1 "exzorsist"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.01"]
; [EventTime "11.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 exzorsist : 0                   lasse : 0
  1)                             31: 8/5 6/5
  2) 42: 8/4 6/4                 52: 13/8 24/22
  3) 42: 24/22 22/18             41: 8/7 24/20
  4) 62: 25/23 24/18             43: 25/22 6/2
  5) 43: 25/21 21/18             55: 8/3 8/3 13/8 13/8
  6) 43: 13/9 9/6                42: 22/20 6/2
  7) 52: 13/8 6/4                63: 22/16 16/13
  8) 54: 13/8 6/2                32: 13/10 10/8
  9) 61: 8/2 4/3                 44: 20/16 20/16 13/9 13/9
 10) 43: 8/4 6/3                 42: 8/4 6/4
 11) 64: 8/2 8/4                 54: 9/4 9/5
 12) 52: 18/13 18/16             64: 8/2 5/1
 13) 21: 16/14 14/13              Doubles => 2
 14)  Takes                      22: 16/14 16/14 8/6 6/4
 15) 52: 13/8 8/6                21: 2/1 4/2
 16) 63: 13/7 7/4                64: 14/8 14/10
 17) 21: 13/11 6/5               53: 10/5 8/5
 18) 21: 13/11 11/10             54: 5/0 4/0
 19) 55: 11/6 10/5 5/0 5/0       51: 5/0 1/0
 20) 53: 6/1 3/0                 21: 1/0 2/0
 21) 21: 2/0 1/0                 31: 3/0 2/1
 22) 53: 6/1 3/0                 62: 6/0 2/0
 23) 21: 2/0 1/0                 11: 1/0 3/2 2/1 1/0
 24) 63: 6/0 4/1                 21: 5/3 4/3
 25) 41: 4/0 1/0                 43: 4/0 3/0
 26) 21: 2/0 4/3                 63: 5/0 3/0
                                  Wins 2 point

