; [Site "BackgammonGalaxy"]
; [Match ID "8419490"]
; [Player 1 "maumaumau"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.02"]
; [EventTime "16.10"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 maumaumau : 0                   lasse : 0
  1)                             64: 24/18 13/9
  2) 33: 13/10 10/7 13/10 10/7   65: 25/20 20/14
  3) 22: 6/4 6/4 13/11 24/22     62: 25/23 9/3
  4)  Doubles => 2                Takes
  5) 52: 25/20 24/22             66:
  6) 53: 8/3 6/3                 61: 25/24 13/7
  7) 33: 8/5 8/5 5/2 5/2         51: 25/20 8/7
  8) 64: 11/5 20/16              54: 25/20 24/20
  9) 62: 25/23 22/16             22: 6/4 6/4 7/5 7/5
 10) 52: 23/18 18/16             33: 13/10 10/7 6/3 8/5
 11) 61: 7/1 7/6                 61: 25/24 13/7
 12) 62: 25/23 23/17             62:
 13) 63: 17/11 16/13             21: 25/24 13/11
 14) 65: 13/7 7/2                42: 11/7 5/3
 15) 52: 16/11 16/14             31: 7/4 4/3
 16) 51: 14/9 9/8                41: 3/2 24/20
 17) 55: 13/8 11/6 6/1 6/1       62:
 18) 21: 11/9 9/8                55: 25/20 20/15 20/15 7/2
 19) 21: 8/6 13/12               63: 15/9 15/12
 20) 64: 12/6 6/2                61: 12/6 9/8
 21) 55: 8/3 8/3 6/1 6/1         21: 20/19 7/5
 22) 42:                          Doubles => 4
 23)  Drops                       Wins 2 point

