; [Site "BackgammonGalaxy"]
; [Match ID "8420027"]
; [Player 1 "advaita"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.02"]
; [EventTime "16.35"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 advaita : 0                     lasse : 0
  1)                             43: 13/9 13/10
  2) 63: 24/18 18/15             64: 25/21 24/18
  3) 22: 6/4 6/4 13/11 13/11     52: 25/20 20/18
  4) 64: 15/9 13/9               64: 24/18 13/9
  5) 62: 24/18 8/6               55: 9/4 9/4 6/1 6/1
  6) 43: 18/14 14/11             53: 18/13 8/5
  7) 64: 11/5 6/2                32: 8/5 13/11
  8) 52: 13/8 13/11              32: 8/5 13/11
  9) 31: 11/8 6/5                66: 18/12 18/12 12/6 11/5
 10) 21: 8/6 11/10                Doubles => 2
 11)  Takes                      53: 11/6 13/10
 12) 63: 11/5 9/6                53: 12/9 9/4
 13) 11: 8/7 8/7 7/6 7/6         65: 10/5 6/0
 14) 62: 10/4 8/6                22: 4/2 2/0 5/3 5/3
 15) 55: 9/4 5/0 5/0 5/0         42: 4/0 6/4
 16) 42: 4/0 2/0                 31: 1/0 3/0
 17) 21: 4/2 6/5                 66: 6/0 6/0 6/0 5/0
 18) 53: 5/0 6/3                 63: 5/0 3/0
 19) 32: 3/0 2/0                 62: 5/0 4/2
 20) 32: 6/3 4/2                 61: 4/0 1/0
 21) 44: 4/0 6/2 6/2 6/2         11: 2/1 1/0
                                  Wins 2 point

