; [Site "BackgammonGalaxy"]
; [Match ID "8448632"]
; [Player 1 "lasse"]
; [Player 2 "bradt"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.03"]
; [EventTime "18.28"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       bradt : 0
  1) 41: 13/9 24/23              51: 6/1 24/23
  2) 61: 25/24 24/18             53: 25/20 23/20
  3) 31: 13/10 10/9              43: 6/2 13/10
  4) 33: 25/22 18/15 6/3 6/3     63:
  5)  Doubles => 2                Takes
  6) 62: 22/16 15/13             11: 25/24 24/23 24/23 6/5
  7) 61: 13/7 8/7                41: 8/4 8/7
  8) 32: 13/10 16/14             64: 13/7 8/4
  9) 51: 14/9 9/8                32: 7/5 13/10
 10) 31: 13/10 8/7               31: 13/12 10/7
 11) 63: 25/22 22/16             53: 12/9 7/2
 12) 61: 25/24 24/18             21: 25/24 9/7
 13) 65:                         21: 23/21 21/20
 14) 62:                         63: 20/14 23/20
 15) 63: 25/22 22/16             43: 13/9 14/11
 16) 22:                         62: 20/14 9/7
 17) 31: 25/22 7/6               21: 14/12 12/11
 18) 51: 22/17 17/16             44: 7/3 7/3 11/7 11/7
 19) 43: 16/12 12/9              41: 7/3 7/6
 20) 54: 7/2 7/3                 32: 6/3 3/1
 21) 51: 6/1 2/1                 42: 25/21 3/1
 22) 52: 9/4 6/4                 53: 25/20 6/3
 23) 61: 10/4 10/9               54: 20/15 15/11
 24) 11: 8/7 8/7 9/8 8/7         32: 11/8 8/6
 25) 53: 9/4 9/6                 32: 20/17 17/15
 26) 64: 7/1 6/2                 65: 15/9 9/4
 27) 62: 7/1 4/2                 44: 20/16 16/12 12/8 8/4
 28) 44: 7/3 4/0 4/0 4/0         61: 6/0 1/0
 29) 43: 6/2 3/0                 31: 3/0 1/0
 30) 31: 3/0 1/0                 54: 5/0 4/0
 31) 65: 6/0 3/0                 66: 6/0 5/0 4/0 4/0
 32) 64: 3/0 2/0                  Doubles => 4
 33)  Takes                      61: 4/0 2/1
 34) 31: 2/0 1/0                 62: 3/0 2/0
 35) 61: 2/1 1/0                 62: 3/0 1/0
                                  Wins 4 point

