; [Site "BackgammonGalaxy"]
; [Match ID "8474582"]
; [Player 1 "lasse"]
; [Player 2 "hatsok"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.04"]
; [EventTime "18.06"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       hatsok : 0
  1)                             52: 13/8 24/22
  2) 65: 24/18 18/13             66: 13/7 13/7 22/16 16/10
  3) 52: 13/8 24/22              61: 10/4 4/3
  4) 44: 25/21 8/4 8/4 13/9      65: 24/18 18/13
  5) 64: 21/15 15/11             32: 8/5 7/5
  6) 32: 8/5 13/11               52: 13/8 6/4
  7) 51: 11/6 6/5                 Doubles => 2
  8)  Takes                      51: 8/3 6/5
  9) 53: 13/8 8/5                44: 8/4 13/9 13/9 7/3
 10) 44: 13/9 13/9 9/5 8/4       53: 9/4 8/5
 11) 54: 9/4 9/5                 22: 8/6 9/7 7/5 4/2
 12) 51: 11/6 4/3                52: 5/0 2/0
 13) 42: 4/0 6/4                 65: 6/0 5/0
 14) 43: 4/0 3/0                 42: 4/0 3/1
 15) 64: 6/0 4/0                 63: 6/0 3/0
 16) 65: 6/0 5/0                 54: 5/0 4/0
 17) 21: 5/3 5/4                 42: 6/2 2/0
 18) 43: 4/0 3/0                 63: 6/0 3/0
 19) 61: 6/0 6/5                 42: 5/3 5/1
 20) 61: 6/0 4/3                 41: 3/0 1/0
 21) 31: 3/0 5/4                 51: 1/0
                                  Wins 2 point

