; [Site "BackgammonGalaxy"]
; [Match ID "8496376"]
; [Player 1 "lasse"]
; [Player 2 "mathmad"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.05"]
; [EventTime "14.59"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       mathmad : 0
  1) 65: 24/18 18/13             66: 24/18 24/18 13/7 13/7
  2) 51: 13/8 6/5                65: 13/7 13/8
  3) 11: 6/5 13/12 13/12 24/23   44: 25/21 6/2 6/2 6/2
  4) 54: 25/20 8/4               21: 25/24 7/5
  5) 65: 25/20 20/14             52: 25/23 23/18
  6) 62: 6/4 14/8                44: 8/4 8/4 7/3 7/3
  7) 52: 13/11 11/6              11: 8/7 8/7 7/6 6/5
  8) 54: 8/4 8/3                 44: 18/14 18/14 18/14 14/10
  9) 41: 8/4 4/3                 32: 10/7 7/5
 10) 32: 8/5 5/3                 65: 24/18 7/2
 11)  Doubles => 2                Takes
 12) 54: 12/7 12/8               42: 25/23 6/2
 13) 53: 7/2 8/5                 43:
 14) 42: 4/2 13/9                21: 25/24 14/12
 15) 41: 25/24 5/1               53:
 16) 43: 9/5 5/2                 31: 25/24 6/3
 17) 61: 25/19 2/1               21: 25/24 14/12
 18) 63: 25/19 6/3               33: 12/9 12/9 4/1 4/1
 19) 44: 25/21 21/17 17/13 13/9  53: 9/4 4/1
 20) 55: 6/1 6/1 19/14 14/9      11:
 21) 54: 19/14 14/10             63: 25/19 9/6
 22) 52: 10/5 3/1                54: 19/14 14/10
 23) 42: 9/5 9/7                 11: 10/9 9/8 8/7 7/6
 24) 33: 7/4 3/0 3/0 3/0         65: 6/0 5/0
 25) 65: 5/0 5/0                 63: 6/0 3/0
 26) 53: 5/0 5/2                 32: 3/0 2/0
 27) 52: 4/0 2/0                 42: 5/1 2/0
 28) 63: 4/1 4/0                 53: 3/0 2/0
 29) 21: 2/0 1/0                 44: 2/0 2/0 1/0 1/0
 30) 63: 2/0 1/0                 32: 1/0 1/0
                                  Wins 2 point

