; [Site "BackgammonGalaxy"]
; [Match ID "8497085"]
; [Player 1 "lasse"]
; [Player 2 "sadleyba"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.05"]
; [EventTime "15.30"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       sadleyba : 0
  1) 52: 13/8 24/22              65: 24/18 18/13
  2) 54: 22/18 18/13             54: 13/8 13/9
  3) 42: 8/4 6/4                 52: 9/4 6/4
  4) 53: 8/3 6/3                 66: 13/7 13/7 8/2 8/2
  5) 31: 13/10 10/9              11: 6/5 6/5 2/1 2/1
  6) 32: 25/23 9/6                Doubles => 2
  7)  Takes                      52: 13/8 13/11
  8) 53: 13/8 13/10              32: 8/5 11/9
  9) 63: 13/7 10/7               33: 8/5 5/2 5/2 8/5
 10) 43: 25/22 13/9              43: 7/3 7/4
 11) 54:                         44: 24/20 20/16 16/12 12/8
 12) 61:                         43: 6/2 6/3
 13) 33:                         32: 9/6 8/6
 14) 54:                         64: 6/0 6/2
 15) 62: 25/19                   64: 5/0 4/0
 16) 51:                         51: 5/0 5/4
 17) 53: 25/20 20/17             52: 4/0 2/0
 18) 66: 17/11 19/13 11/5 13/7   32: 3/0 2/0
 19) 42: 8/4 8/6                 33: 4/1 4/1 3/0 2/0
 20) 63: 8/2 7/4                 64: 2/0 1/0
 21) 54: 7/2 7/3                 31: 1/0 1/0
 22) 43: 4/0 3/0                 61: 1/0
                                  Wins 2 point

