; [Site "BackgammonGalaxy"]
; [Match ID "8514456"]
; [Player 1 "lasse"]
; [Player 2 "merendero83"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.06"]
; [EventTime "08.34"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       merendero83 : 0
  1)                             53: 8/3 6/3
  2) 63: 24/18 13/10             62: 13/7 24/22
  3) 51: 25/24 13/8              54: 24/20 20/15
  4) 55: 25/20 8/3 13/8 8/3      32: 25/23 7/4
  5) 62: 24/18 20/18             42: 15/11 13/11
  6) 51: 8/3 3/2                 63:
  7) 63: 8/2 24/21               65: 25/20
  8)  Doubles => 2                Takes
  9) 54: 13/8 13/9               21: 25/24 6/4
 10) 52: 25/23 6/1               21: 25/24 4/2
 11) 64: 25/21                   53: 24/21 21/16
 12) 22: 25/23 25/23 6/4 6/4     54: 25/20 20/16
 13) 65: 21/15 23/18             55: 20/15 16/11 16/11 15/10
 14) 61: 25/24 24/18             63: 10/4 4/1
 15) 31: 18/15 8/7               64: 13/9 9/3
 16) 31: 18/15 7/6                Doubles => 4
 17)  Takes                      54: 13/8 13/9
 18) 31: 8/5 6/5                 53: 9/6 6/1
 19) 32: 15/12 15/13             62: 11/5 5/3
 20) 22: 13/11 11/9 9/7 12/10    31: 8/5 6/5
 21) 62: 7/1 10/8                61: 11/5 3/2
 22) 65:                         51: 3/2 11/6
 23) 62:                         62: 11/5 5/3
 24) 31:                         62: 8/2 8/6
 25) 65:                         64: 6/0 6/2
 26) 43: 25/21 18/15             62: 6/0 6/4
 27) 62: 25/19 19/17             42: 4/0 2/0
 28) 22: 8/6 15/13 13/11 17/15   11: 1/0 1/0 2/1 1/0
 29) 62: 18/12 12/10             32: 3/0 2/0
 30) 55: 11/6 15/10 10/5 10/5    65: 5/0 5/0
 31) 51: 5/0 1/0                 32: 3/0 2/0
 32)  Losses 4 point              Wins 4 point

