; [Site "BackgammonGalaxy"]
; [Match ID "8519193"]
; [Player 1 "mr_beach"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.06"]
; [EventTime "13.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 mr_beach : 0                    lasse : 0
  1) 41: 13/9 24/23              33: 24/21 24/21 13/10 13/10
  2) 63: 9/3 6/3                 54: 6/1 13/9
  3) 52: 25/20 13/11             63: 9/3 6/3
  4) 53: 23/20 6/1               44: 13/9 13/9 8/4 8/4
  5) 22: 13/11 20/18 20/18 8/6   31: 8/5 6/5
  6) 21: 6/5 5/3                 55: 21/16 21/16 16/11 16/11
  7) 44: 13/9 13/9 11/7 11/7      Doubles => 2
  8)  Takes                      64: 10/4 10/6
  9) 55: 9/4 9/4 7/2 7/2         31: 4/1 6/5
 10) 41: 6/2 2/1                 43: 6/2 5/2
 11) 32: 6/3 3/1                 62: 11/5 11/9
 12) 22: 6/4 4/2 8/6 8/6         33: 9/6 9/6 9/6 3/0
 13) 42: 18/14 18/16             43: 4/0 3/0
 14) 63: 16/10 14/11             31: 6/3 1/0
 15) 52: 10/5 11/9               41: 4/0 1/0
 16) 51: 9/4 1/0                 53: 5/0 3/0
 17) 62: 6/0 2/0                 42: 2/0 5/1
 18) 21: 2/0 1/0                 22: 2/0 6/4 4/2 2/0
 19) 43: 4/0 3/0                 41: 1/0 6/2
 20) 22: 2/0 4/2 2/0 6/4         31: 6/3 2/1
 21) 62: 5/0 4/2                 53: 5/0 3/0
 22) 22: 2/0 4/2 2/0 3/1         51: 1/0
                                  Wins 2 point

