; [Site "BackgammonGalaxy"]
; [Match ID "8543139"]
; [Player 1 "lasse"]
; [Player 2 "stein"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.07"]
; [EventTime "12.34"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       stein : 0
  1) 42: 8/4 6/4                 42: 8/4 6/4
  2) 21: 13/11 24/23             62: 24/18 18/16
  3) 62: 11/9 24/18              41: 25/24 6/2
  4) 52: 25/23 23/18             66:
  5)  Doubles => 2                Takes
  6) 33: 8/5 8/5 6/3 6/3         52: 25/23 13/8
  7) 65: 13/7 7/2                33:
  8) 43: 9/5 5/2                 43:
  9) 53: 18/13 13/10             61: 25/24 13/7
 10) 64:                         32: 8/5 7/5
 11) 66:                         42: 13/9 9/7
 12) 64:                         33: 13/10 10/7 13/10 10/7
 13) 64:                         65: 24/18 18/13
 14) 64:                         63: 24/18 18/15
 15) 62: 25/23                   22: 15/13 13/11 13/11 7/5
 16) 64:                         54: 7/2 6/2
 17) 52:                         32: 11/8 8/6
 18) 21: 25/24                   41: 11/7 5/4
 19) 62:                         64: 24/18 18/14
 20) 42:                         65: 8/2 14/9
 21) 64:                         54: 8/3 7/3
 22) 62:                         54: 9/5 7/2
 23) 51: 25/24 13/8              53: 5/0 6/3
 24) 32: 13/10 13/11             63: 6/0 6/3
 25) 42: 11/7 8/6                21: 5/3 5/4
 26) 62: 10/4 7/5                54: 4/0 4/0
 27) 11: 4/3 3/2 2/1 5/4         65: 4/0 4/0
 28) 21: 4/2 2/1                 61: 3/2 3/0
 29) 52: 24/19 19/17             65: 3/0 3/0
 30) 62: 24/22 22/16             21:
 31) 61: 17/11 16/15             52:
 32) 52: 15/10 11/9              51:
 33) 53: 10/5 9/6                63:
 34) 21: 6/4 4/3                 63:
 35) 41: 5/1 1/0                 65:
 36) 11: 3/2 2/1 1/0 6/5         51:
 37) 51: 5/0 6/5                 63: 25/19 19/16
 38) 65: 25/20 20/14             52: 16/14 14/9
 39) 54: 14/9 9/5                31: 9/6 2/1
 40) 42: 4/0 2/0                 64: 6/0 2/0
 41) 62: 5/0 2/0                 21: 2/0 1/0
 42) 64: 5/0 4/0                 64: 2/0 2/0
                                  Wins 2 point

