; [Site "BackgammonGalaxy"]
; [Match ID "8562383"]
; [Player 1 "presto"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.06.08"]
; [EventTime "07.41"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 presto : 0                      lasse : 0
  1) 21: 13/11 6/5               61: 13/7 8/7
  2) 65: 11/5 13/8               11: 6/5 6/5 24/23 23/22
  3) 62: 24/22 22/16             64: 13/9 13/7
  4) 63: 25/22 22/16             65:
  5) 31: 16/13 6/5               43: 25/21 24/21
  6) 52: 8/3 5/3                 51: 25/24 13/8
  7) 31: 24/21 13/12             61: 25/24 24/18
  8) 53: 12/7 8/5                43: 25/21 21/18
  9) 11: 25/24 8/7 8/7 24/23     41: 25/24 8/4
 10) 43: 25/21 6/3               61: 25/24 7/1
 11) 64: 21/15 15/11             43: 24/21 21/17
 12) 63: 13/7 11/8               53:
 13) 44: 13/9 13/9 9/5 7/3       64: 25/21 21/15
 14) 53: 9/6 8/3                 32: 15/12 12/10
 15) 31: 5/2 3/2                 41: 10/6 6/5
 16) 42: 6/2 23/21               31: 5/4 4/1
 17) 54: 25/21 21/16             43: 8/4 7/4
 18) 42: 7/3 7/5                 64: 8/2 6/2
 19) 41: 6/2 6/5                 31: 7/6 21/18
 20) 64: 16/12 12/6              62: 21/19 19/13
 21) 64:                         66: 24/18 18/12 18/12 24/18
 22) 65:                         65: 13/7 12/7
 23) 33: 25/22 5/2 5/2 5/2       44: 7/3 7/3 18/14 14/10
 24) 44:                          Doubles => 2
 25)  Drops                       Wins 1 point

