; [Site "BackgammonGalaxy"]
; [Match ID "8590136"]
; [Player 1 "lasse"]
; [Player 2 "djenaro"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.09"]
; [EventTime "12.11"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       djenaro : 0
  1) 51: 13/8 24/23              53: 8/3 6/3
  2) 32: 24/21 23/21             32: 13/10 10/8
  3) 66: 21/15 15/9 21/15 15/9   22: 24/22 24/22 22/20 22/20
  4)  Doubles => 2                Takes
  5) 66: 13/7 13/7 13/7 13/7     65: 13/7 7/2
  6) 51: 9/4 9/8                 52: 13/8 8/6
  7) 41: 8/4 7/6                 52: 13/8 8/6
  8) 31: 8/7 7/4                 51: 8/3 3/2
  9) 41: 8/4 7/6                 21: 8/6 13/12
 10) 66: 8/2 8/2 7/1 7/1         63: 12/6 8/5
 11) 43: 4/0 6/3                 52: 6/1 6/4
 12) 61: 6/0 1/0                 21: 6/4 6/5
 13) 53: 6/1 3/0                 54: 6/1 6/2
 14) 44: 6/2 6/2 6/2 6/2         21: 20/18 18/17
 15) 63: 4/1 4/0                 33: 20/17 17/14 14/11 17/14
 16) 51: 4/0 1/0                 22: 14/12 11/9 9/7 7/5
 17) 43: 2/0 2/0                 63: 12/6 3/0
 18) 42: 2/0 2/0                  Losses 2 point
      Wins 2 point
