; [Site "BackgammonGalaxy"]
; [Match ID "8600246"]
; [Player 1 "troutmaster"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.09"]
; [EventTime "19.53"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 troutmaster : 0                 lasse : 0
  1) 21: 24/23 13/11             62: 24/18 13/11
  2) 64: 24/18 18/14             54: 25/20 18/14
  3) 31: 25/24 14/11             63: 25/22 20/14
  4) 61: 25/24 24/18             54: 14/9 13/9
  5) 52: 23/18 13/11             62: 22/16 16/14
  6) 65: 25/20 20/14             63: 14/11 24/18
  7) 63: 25/22 13/7              41: 25/21 11/10
  8) 62: 13/7 24/22              61: 21/15 13/12
  9) 21: 25/23 6/5                Doubles => 2
 10)  Takes                      51: 10/5 6/5
 11) 53: 18/13 13/10             52: 25/23 25/20
 12) 41: 25/21 6/5               22: 25/23 6/4 6/4 9/7
 13) 44:                         32: 23/20 9/7
 14) 53: 25/22                   41: 13/9 23/22
 15) 21: 25/24 25/23             53: 20/15 15/12
 16) 31: 25/22 24/23             43: 13/9 8/5
 17) 65: 7/1 7/2                 32: 22/20 12/9
 18) 21: 6/4 2/1                 44: 20/16 16/12 12/8 9/5
 19) 52: 8/3 8/6                 31: 8/5 5/4
 20) 52: 8/3 6/4                 31: 4/1 5/4
 21) 52: 6/1 6/4                 53: 9/4 9/6
 22) 32: 4/1 4/2                 44: 5/1 8/4 5/1 8/4
 23) 66: 22/16 16/10 10/4 22/16  32: 7/4 7/5
 24) 65: 23/17 16/11             53: 6/1 4/1
 25) 54: 17/12 12/8              61: 6/0 6/5
 26) 53: 11/6 8/5                53: 5/0 4/1
 27) 61: 22/16 6/5               64: 5/0 5/1
 28) 54: 16/11 11/7              21: 4/3 3/1
 29) 11:                         66: 4/0 4/0 4/0 4/0
 30) 31: 25/22 22/21             32: 1/0 1/0
 31) 21: 21/19 19/18             31: 1/0 1/0
 32) 31: 23/20 20/19             65: 1/0 1/0
 33) 61: 23/17 19/18             44: 1/0 1/0
                                  Wins 4 point

