; [Site "BackgammonGalaxy"]
; [Match ID "8619011"]
; [Player 1 "lasse"]
; [Player 2 "jochen"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.10"]
; [EventTime "15.13"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       jochen : 0
  1) 62: 24/18 13/11             51: 8/7 13/8
  2) 65: 25/20 24/18             32: 25/23 8/5
  3) 64: 25/21 21/15             31: 13/10 6/5
  4) 62: 25/23 8/2               63: 25/22 13/7
  5) 54: 25/21 23/18             52: 25/23 10/5
  6) 33: 25/22 6/3 6/3 21/18     64: 25/21 24/18
  7) 63: 13/7 7/4                21: 25/24 25/23
  8) 52: 6/4 13/8                42: 8/4 6/4
  9) 55: 22/17 18/13 18/13 11/6  21: 25/24 5/3
 10) 52: 17/15 15/10             21: 6/4 4/3
 11) 43: 13/9 13/10              32: 13/10 13/11
 12) 31: 8/5 6/5                 42: 11/7 10/8
 13)  Doubles => 2                Takes
 14) 52: 13/8 13/11              63: 24/18 8/5
 15) 51: 8/7 11/6                63:
 16) 64: 7/3 10/4                31: 25/24 5/2
 17) 32: 10/7 9/7                63: 7/1 5/2
 18) 51: 8/3 6/5                 43: 5/1 6/3
 19) 44: 8/4 7/3 7/3 4/0         65: 24/18 18/13
 20) 65: 6/0 5/0                 63: 23/17 13/10
 21) 61: 6/5 5/0                 43: 23/19 17/14
 22) 42: 4/0 5/3                 33: 19/16 16/13 13/10 10/7
 23) 11: 3/2 3/2 5/4 3/2         41: 10/6 7/6
 24) 54: 4/0 4/0                 62: 24/18 14/12
 25) 22: 3/1 3/1 4/2 2/0         22:
 26) 52: 3/0 3/1                 61: 25/19 19/18
 27) 52: 2/0 2/0                 42: 18/14 14/12
 28) 42: 2/0 1/0                 21: 12/10 10/9
 29) 65: 1/0 1/0
      Wins 4 point
