; [Site "BackgammonGalaxy"]
; [Match ID "8720466"]
; [Player 1 "did"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.14"]
; [EventTime "16.25"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 did : 0                         lasse : 0
  1) 54: 13/8 13/9               51: 13/8 6/5
  2) 32: 24/21 24/22             64: 8/2 6/2
  3) 53: 8/3 6/3                 22: 8/6 6/4 6/4 5/3
  4) 11: 25/24 25/24 6/5 6/5     66: 24/18 24/18 13/7 13/7
  5) 66: 9/3 8/2 8/2 8/2          Doubles => 2
  6)  Takes                      52: 8/3 8/6
  7) 53: 13/8 8/5                41: 13/9 9/8
  8) 63: 13/10 10/4              44: 18/14 18/14 13/9 8/4
  9) 63: 13/7 7/4                41: 9/5 6/5
 10) 64: 5/1                     53: 14/9 9/6
 11) 55: 6/1 6/1                 55: 14/9 9/4 7/2 7/2
 12) 63: 24/18 18/15             66: 6/0 6/0 6/0 5/0
 13) 21: 15/13 13/12             52: 5/0 2/0
 14) 64: 12/6 6/2                61: 4/0 4/3
 15) 32: 4/1 4/2                 33: 4/1 3/0 3/0 4/1
 16) 11:                         64: 3/0 2/0
 17) 31: 25/22 22/21             21: 2/0 1/0
 18) 31: 21/18 18/17             31: 2/0 1/0
                                  Wins 4 point

