; [Site "BackgammonGalaxy"]
; [Match ID "8788745"]
; [Player 1 "afshinm470"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "6,00/0"]
; [EventDate "2024.06.17"]
; [EventTime "14.20"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

8 point match

 Game 1
 afshinm470 : 0                  lasse : 0
  1) 51: 8/3 8/7                 51: 24/23 23/18
  2) 63: 25/22 13/7              61: 25/24 24/18
  3) 65: 25/20 13/7              43: 25/22 22/18
  4) 22: 25/23 25/23 22/20 13/11 54: 18/14 14/9
  5) 33: 25/22 24/21 24/21 6/3   61: 13/7 8/7
  6) 52: 6/1 6/4                 33: 25/22 6/3 13/10 13/10
  7) 63: 25/22                    Doubles => 2
  8)  Takes                      43: 25/22 13/9
  9) 53: 25/22 13/8              52: 22/20 20/15
 10) 32: 13/10 8/6               33: 25/22 13/10 10/7 10/7
 11) 61: 21/15 6/5               32: 25/23 7/4
 12) 31: 25/24 24/21             32: 25/22 6/4
 13) 31: 25/24 24/21             51: 25/20 7/6
 14) 53: 25/22 10/5              31: 25/22 23/22
 15) 51: 15/10 22/21             33: 9/6 9/6
 16) 65: 20/14 20/15             21: 6/5 22/20
 17) 31: 25/24 8/5               33: 25/22 8/5 8/5
 18) 66: 10/4 15/9 14/8 8/2      64: 22/16 22/18
 19) 43: 25/21 5/2               22: 22/20 20/18 18/16 16/14
 20) 54: 21/16 16/12             32: 22/20 16/13
 21) 54: 25/21 21/16             51: 14/9 9/8
 22) 21: 25/24 6/4               65: 13/8 22/16
 23) 63: 21/15 4/1               31: 5/4 18/15
 24) 51: 25/24 15/10             31: 25/22 6/5
 25) 11: 22/21 22/21 10/9 6/5    11:
 26) 64: 21/15 9/5               62: 25/19
 27) 65: 21/15 15/10             65: 25/19
 28) 51: 10/5 24/23              53: 25/22 22/17
 29) 43: 15/11 11/8              22:
 30) 42: 8/4 5/3                 32: 25/22
 31) 64: 25/21 21/15             65: 25/19 22/17
 32) 64: 15/9 9/5                63: 19/13 17/14
 33) 54: 5/1                     32: 6/3 5/3
 34) 32: 24/21 23/21             53: 19/14 19/16
 35) 64: 21/15 5/1               42: 8/4 6/4
 36) 32: 25/23 15/12             32: 25/22 22/20
 37) 44:                         43: 8/4 4/1
 38) 32: 25/23                   51: 7/6 6/1
 39) 51:                         54: 16/11 11/7
 40) 53:                         61: 14/13 14/8
 41) 32: 25/23                   51: 13/8 20/19
 42) 65:                         63: 19/13 13/10
 43) 53:                         63: 10/4 8/5
 44) 41:                         61: 7/1 7/6
 45) 22: 25/23 4/2 4/2 4/2       21: 8/6 1/0
 46) 31: 2/1                     63: 6/0 6/3
 47) 64: 23/17 17/13             32: 6/3 6/4
 48) 54: 23/18 23/19             63: 5/0 3/0
 49) 61: 13/7 7/6                32: 4/1 3/1
 50) 33: 18/15 15/12 12/9 9/6    51: 5/0 5/4
 51) 51: 19/14 14/13             33: 4/1 4/1 3/0 3/0
 52) 54: 23/18 13/9              61: 4/0 1/0
 53)  Losses 6 point              Wins 6 point

