; [Site "BackgammonGalaxy"]
; [Match ID "8793805"]
; [Player 1 "lasse"]
; [Player 2 "konerat"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.17"]
; [EventTime "18.04"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       konerat : 0
  1) 43: 13/9 13/10              43: 13/9 13/10
  2) 42: 8/4 6/4                 52: 9/4 6/4
  3) 21: 9/7 8/7                 32: 13/10 24/22
  4) 54: 8/3 7/3                 21: 25/23 24/23
  5) 62: 13/7 24/22              52: 8/3 6/4
  6) 53: 25/22 10/5              21: 25/23 4/3
  7)  Doubles => 2                Takes
  8) 52: 25/20 24/22             32: 25/23 23/20
  9) 32: 25/22 22/20             51: 20/15 15/14
 10) 21: 13/11 11/10             63:
 11) 52: 10/5 7/5                33:
 12) 66: 13/7 22/16 20/14 20/14  32: 25/23 8/5
 13) 42: 16/14 14/10             32: 8/5 10/8
 14) 43: 14/10 14/11             42: 8/4 4/2
 15) 11: 10/9 9/8 10/9 9/8       21: 6/4 4/3
 16) 11: 6/5 11/10 10/9 9/8      52: 10/5 5/3
 17) 55: 8/3 8/3 8/3 6/1         61: 23/17 13/12
 18) 64: 7/1 7/3                 33: 13/10 12/9 17/14 14/11
 19) 64: 6/0 5/1                 51: 11/6 9/8
 20) 51: 6/1 1/0                 22: 8/6 6/4 4/2 6/4
 21) 61: 5/0 5/4                 62: 23/17 17/15
 22) 41: 4/0 1/0                 22: 15/13 13/11 10/8 8/6
 23) 21: 3/1 1/0                 44: 23/19 19/15 15/11 11/7
 24) 61: 4/0 4/3                 32: 4/1 6/4
 25) 63: 3/0 3/0                 31: 4/1 11/10
 26) 31: 3/0 1/0                 62: 10/4 4/2
 27) 31: 3/0 1/0                 41: 23/19 19/18
 28) 61: 3/2 3/0                 42: 18/14 14/12
 29) 54: 2/0
      Wins 4 point
