; [Site "BackgammonGalaxy"]
; [Match ID "8808449"]
; [Player 1 "lasse"]
; [Player 2 "ayka"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.18"]
; [EventTime "08.46"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       ayka : 0
  1)                             42: 8/4 6/4
  2) 41: 13/9 24/23              53: 24/21 21/16
  3) 61: 25/24 24/18             51: 8/7 7/2
  4) 63: 25/22                    Doubles => 2
  5)  Takes                      62: 8/2 24/22
  6) 63: 25/22 13/7              33: 16/13 13/10 13/10 13/10
  7) 41: 8/7 24/20               52: 22/20 20/15
  8) 52: 22/20 13/8              43: 13/9 6/3
  9) 66:                         51: 9/4 4/3
 10) 31: 25/24 13/10             61: 25/24 10/4
 11) 31: 8/5 6/5                 63: 24/21 21/15
 12) 64:                         61: 13/7 13/12
 13) 22:                         41: 15/11 10/9
 14) 42:                         42: 7/3 10/8
 15) 61: 25/24                   42: 12/8 11/9
 16) 61: 25/24 24/18             11: 8/7 8/7 9/8 9/8
 17) 44:                         64: 8/2 8/4
 18) 51: 25/20 6/5               65: 7/2
 19) 32: 20/18 18/15             55:
 20) 33: 15/12 20/17 20/17 12/9  64: 25/21 21/15
 21) 62: 9/3 5/3                 31: 6/3 4/3
 22) 54: 7/2 6/2                 61: 15/9 3/2
 23) 64: 17/11 17/13             51: 9/4 3/2
 24) 51: 11/6 8/7                32: 6/3 6/4
 25) 31: 13/10 7/6               62: 4/0 2/0
 26) 65: 10/4 8/3                64: 4/0 4/0
 27) 32: 7/4 6/4                 32: 3/0 2/0
 28) 42: 24/20 20/18             63: 4/0 3/0
 29) 63: 24/21 18/12             66:
 30) 51: 12/7 21/20              31: 25/24
 31) 62: 20/14 3/1               43:
 32) 44: 14/10 10/6 7/3 4/0      51: 25/24
 33) 61: 25/19 6/5               22: 3/1 3/1
 34) 43: 5/1 19/16               41: 25/24
 35) 61: 25/19 16/15             64: 24/18 18/14
 36) 21: 3/1 6/5                 31: 14/11 11/10
 37) 53: 25/22 19/14             32: 10/8 8/5
 38) 21: 22/20 14/13             32:
 39) 61: 13/7 20/19              66:
 40) 53: 19/14 14/11             53:
 41) 21: 11/9 7/6                61: 25/24 24/18
 42) 53: 25/20 6/3               53: 18/15 15/10
 43) 55: 20/15 15/10 10/5 9/4    22:
 44) 54: 5/0 4/0                 53:
 45) 41: 5/1 1/0                 54:
 46)  Doubles => 4                Takes
 47) 61: 6/0 6/5                 44:
 48) 51: 5/0 3/2                 42:
 49) 42: 4/0 4/2                 42: 25/21 21/19
 50) 22: 2/0 2/0 2/0 2/0         54: 19/15 15/10
 51) 61: 5/0 3/2                 55: 10/5 5/0 2/0 2/0
 52) 54: 5/0 3/0                 64: 2/0 2/0
 53) 61: 2/1 1/0
      Wins 4 point
