; [Site "BackgammonGalaxy"]
; [Match ID "8837358"]
; [Player 1 "keremoz"]
; [Player 2 "lasse"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.19"]
; [EventTime "12.35"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 keremoz : 0                     lasse : 0
  1)                             43: 13/9 13/10
  2) 63: 24/18 18/15             11: 25/24 6/5 6/5 24/23
  3) 44: 6/2 6/2 8/4 8/4         21: 25/24 24/22
  4) 42: 8/6 15/11               21: 24/22 6/5
  5) 63: 24/18 18/15             11: 5/4 8/7 9/8 8/7
  6)  Doubles => 2                Takes
  7) 32: 15/13 13/10             62: 22/16 16/14
  8) 41: 25/21 10/9              66:
  9) 65: 9/3 21/16               65: 25/20
 10) 32: 6/3 13/11               22:
 11) 61: 11/5 6/5                54:
 12) 62: 13/7 13/11              22:
 13) 11: 2/1 2/1 3/2 3/2         32: 25/22
 14) 61: 11/5 16/15              21:
 15) 42: 7/3 5/3                 66:
 16) 54: 15/10 13/9              42:
 17) 33: 13/10 9/6 10/7 7/4      64:
 18) 32: 10/7 7/5                53:
 19) 62: 6/0 5/3                 31:
 20) 65: 6/0 6/1                 42:
 21) 65: 5/0 5/0                 61: 25/19
 22) 21: 4/2 3/2                 65: 25/20 25/19
 23) 11: 4/3 4/3 2/1 2/1         63: 25/19 19/16
 24) 33: 3/0 3/0 3/0 3/0         65: 20/14 19/14
 25) 64: 2/0 2/0                 61: 16/10 13/12
 26) 53: 1/0 1/0                 21: 19/17 17/16
 27) 41: 1/0 1/0                 66: 16/10 14/8 13/7 13/7
 28) 61: 1/0
      Wins 4 point
