; [Site "BackgammonGalaxy"]
; [Match ID "8862630"]
; [Player 1 "lasse"]
; [Player 2 "gammonlord"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.20"]
; [EventTime "12.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

4 point match

 Game 1
 lasse : 0                       gammonlord : 0
  1)                             41: 13/9 24/23
  2) 32: 24/21 13/11             66: 13/7 13/7 7/1 7/1
  3) 64: 25/21 11/5              32: 23/20 24/22
  4) 65: 25/20 20/14             51: 9/8 8/3
  5) 52: 8/3 13/11               66:
  6) 65: 11/5 8/3                22: 25/23 25/23 13/11 13/11
  7) 62: 25/23 13/7               Doubles => 2
  8)  Takes                      61: 8/2 3/2
  9) 44: 25/21 13/9 9/5 8/4      51: 23/18 18/17
 10) 52: 25/20 6/4               21: 6/5 5/3
 11) 65: 25/20 21/15             32: 8/5 5/3
 12) 31:                         33: 11/8 8/5 8/5 6/3
 13) 61:                         41: 17/13 13/12
 14) 62:                         65: 23/17 17/12
 15) 42: 25/21                   65: 12/6 11/6
 16) 66:                         52: 12/10 10/5
 17) 32:                         63: 6/0 3/0
 18) 62:                         51: 6/1 1/0
 19) 61:                         32: 6/3 5/3
 20) 61:                         21: 3/2 2/0
 21) 54: 25/21                   44: 6/2 6/2 5/1 5/1
 22) 43: 25/21 21/18             62: 3/0 2/0
 23) 21: 21/19 19/18             31: 1/0 3/0
 24) 51: 21/16 21/20             31: 1/0 3/0
 25) 64: 21/15 20/16             62: 2/0 2/0
 26)  Losses 4 point                                               Wins 4 point and the match
