; [Site "BackgammonGalaxy"]
; [Match ID "8935087"]
; [Player 1 "spider_jar"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.23"]
; [EventTime "13.16"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 spider_jar : 0                  lasse : 0
  1) 64: 24/18 13/9              62: 24/18 18/16
  2) 44: 25/21 13/9 13/9 24/20   51: 25/20 6/5
  3) 62: 25/23 21/15             21: 8/7 7/5
  4) 54: 25/21 6/1               31: 25/24 13/10
  5) 43: 25/22 25/21             42: 24/20 10/8
  6) 64: 8/2 6/2                 61: 13/7 8/7
  7) 43: 13/9 6/3                 Doubles => 2
  8)  Takes                      62: 20/14 14/12
  9) 11: 25/24 23/22 9/8 8/7     64: 20/14 14/10
 10) 65: 7/1 8/3                 42: 12/10 13/9
 11) 63: 24/21 22/16             64: 25/21 21/15
 12) 61: 22/16 8/7               43: 15/11 11/8
 13) 21: 7/5 9/8                 54: 8/3 6/2
 14) 62: 9/3 3/1                 31: 6/3 3/2
 15) 21: 8/6 6/5                 61: 8/2 8/7
 16) 54: 16/11 11/7              54: 10/5 10/6
 17) 21: 7/5 5/4                 54: 6/1 7/3
 18) 51: 21/16 5/4               61: 7/1 7/6
 19) 62: 16/10 10/8              62: 13/7 7/5
 20) 54: 16/12 12/7              54: 25/20 5/1
 21) 61:                         61: 20/14 14/13
 22) 52:                         64: 13/7 7/3
 23) 61:                         64: 6/0 5/1
 24) 53:                         51: 6/1 6/5
 25) 64: 25/19 19/15             66: 5/0 5/0 5/0 3/0
 26) 51: 21/16 7/6               66: 3/0 3/0 2/0 2/0
 27) 53: 21/16 15/12             51: 2/0 1/0
 28) 11: 8/7 7/6 16/15 15/14     51: 1/0 1/0
 29) 41: 16/12 14/13             42: 1/0 1/0
                                  Wins 4 point

