; [Site "BackgammonGalaxy"]
; [Match ID "8935753"]
; [Player 1 "lasse"]
; [Player 2 "derhahnfliegt"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.23"]
; [EventTime "13.47"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       derhahnfliegt : 0
  1) 65: 24/18 18/13             22: 6/4 6/4 13/11 13/11
  2) 11: 6/5 6/5 8/7 8/7         55: 8/3 8/3 13/8 11/6
  3) 62: 13/7 13/11              44: 6/2 6/2 13/9 13/9
  4) 42: 8/4 6/4                 22: 9/7 9/7 24/22 24/22
  5) 32: 13/11 7/4               42: 8/4 8/6
  6) 53: 13/8 11/8               43: 11/7 4/1
  7) 53: 25/20 20/17             65: 22/16 16/11
  8)  Doubles => 2                Takes
  9) 66: 17/11 13/7 13/7 7/1     62: 22/16 11/9
 10) 21: 11/9 9/8                66:
 11) 55: 8/3 8/3 11/6 6/1        31:
 12) 32: 8/5 7/5                 31:
 13) 53: 7/2 5/2                 64:
 14) 66: 7/1 6/0 6/0 5/0         52:
 15) 63: 5/0 5/2                 64: 25/19 9/5
 16) 63: 4/0 3/0                 44: 19/15 15/11 7/3 11/7
 17) 41: 4/0 1/0                 31: 7/4 7/6
 18) 51: 4/0 1/0                 61: 7/1 1/0
 19) 61: 3/0 1/0                  Losses 2 point
      Wins 2 point
