; [Site "BackgammonGalaxy"]
; [Match ID "8935900"]
; [Player 1 "asutt"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.23"]
; [EventTime "13.53"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 asutt : 0                       lasse : 0
  1)                             31: 8/5 6/5
  2) 63: 24/18 13/10             61: 13/7 8/7
  3) 32: 25/22 24/22             32: 13/10 10/8
  4) 33: 6/3 6/3 13/10 13/10     42: 13/11 11/7
  5) 43: 10/6 6/3                66: 24/18 24/18 13/7 13/7
  6) 54: 10/5 10/6                Doubles => 2
  7)  Takes                      43: 8/4 7/4
  8) 31: 8/5 6/5                 61: 8/2 6/5
  9) 32: 5/2 3/1                 63: 7/1 5/2
 10) 31: 6/3 2/1                 41: 6/2 2/1
 11) 42: 8/4 8/6                 31: 7/4 7/6
 12) 31: 6/3 3/2                 41: 7/6 6/2
 13) 41: 22/18 3/2               32: 6/3 3/1
 14) 61:                         21: 18/16 16/15
 15) 53: 25/22 18/13             61: 15/9 4/3
 16) 55:                         53: 6/1 6/3
 17) 42:                         66: 9/3
 18) 41:                         32: 18/15 15/13
 19) 66: 25/19 13/7 13/7 13/7    61: 13/7 7/6
 20) 54:                         51: 6/1 1/0
 21) 21:                         62: 5/0 5/3
 22) 62: 25/19 19/17             64: 4/0 4/0
 23) 66: 17/11 11/5 7/1 7/1      32: 3/0 2/0
 24) 44: 7/3 4/0 6/2 6/2         55: 3/0 3/0 3/0 2/0
 25)  Losses 2 point              Wins 2 point

