; [Site "BackgammonGalaxy"]
; [Match ID "8936644"]
; [Player 1 "muratyavuz"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.23"]
; [EventTime "14.26"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 muratyavuz : 0                  lasse : 0
  1) 64: 8/2 6/2                 65: 24/18 18/13
  2) 41: 13/9 24/23              32: 13/10 10/8
  3) 32: 24/21 23/21             21: 6/5 5/3
  4) 21: 9/7 8/7                 44: 24/20 20/16 13/9 13/9
  5) 65: 13/7 13/8               43: 16/13 13/9
  6) 63: 7/1 6/3                 63: 6/3 8/2
  7) 41: 7/3 8/7                 43: 9/5 8/5
  8) 22: 7/5 7/5 5/3 3/1         31: 6/3 3/2
  9) 53: 13/8 13/10              43: 13/9 9/6
 10) 51: 10/5 8/7                54: 13/8 13/9
 11) 32: 7/4 6/4                 51: 9/8 8/3
 12) 61: 8/2 2/1                 51: 8/3 3/2
 13) 55: 6/1 6/1                 22: 9/7 9/7 7/5 7/5
 14) 43: 5/1 5/2                  Doubles => 2
 15)  Takes                      55: 8/3 8/3 5/0 6/1
 16) 66: 21/15 21/15 15/9 15/9   43: 5/1 3/0
 17) 61: 9/3 9/8                 21: 1/0 2/0
 18) 43: 8/4 3/0                 52: 5/0 2/0
 19) 31: 3/0 1/0                 31: 3/0 1/0
 20) 21: 2/0 1/0                 31: 3/0 6/5
 21) 51: 4/0 1/0                 21: 2/0 5/4
 22) 55: 4/0 4/0 3/0 2/0         55: 6/1 5/0 4/0 3/0
 23) 52: 2/0 1/0                 43: 3/0 1/0
                                  Wins 2 point

