; [Site "BackgammonGalaxy"]
; [Match ID "929451"]
; [Player 1 "lasse"]
; [Player 2 "shchelok"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       shchelok : 0
  1)                             54: 24/20 13/8
  2) 64: 24/18 18/14             66: 13/7 13/7 8/2 8/2
  3) 51: 14/9 9/8                51: 20/15 15/14
  4) 66: 13/7 13/7 8/2 8/2       32: 14/11 24/22
  5) 32: 6/3 24/22               53: 25/22 11/6
  6) 33: 25/22 8/5 8/5 5/2       54: 22/17 17/13
  7)  Doubles => 2                Takes
  8) 33: 13/10 7/4 7/4 6/3        Doubles => 4
  9)  Takes                      64: 13/7 6/2
 10) 31: 6/5 10/7                21: 7/5 6/5
 11) 21: 2/1 3/1                 54: 6/1 6/2
 12) 42: 7/3 5/3                 51: 6/1 6/5
 13) 32: 22/19 5/3               65: 13/7 13/8
 14) 41: 13/9 13/12              51: 8/3 3/2
 15) 42: 25/21 12/10             43: 8/4 7/4
 16) 55:                         22: 8/6 6/4 7/5 7/5
 17) 52:                         62: 5/0 2/0
 18) 32: 25/22                   53: 5/0 5/2
 19) 41:                         54: 5/0 5/1
 20) 52: 25/20 10/8              32: 4/1 2/0
 21) 41: 9/5 20/19               61: 1/0 4/0
 22) 51: 22/21 19/14             52: 25/20 20/18
 23) 11:                         65: 18/13 13/7
 24) 53: 25/20 21/18             43:
 25) 53: 8/5 14/9                43:
 26) 32: 18/15 15/13             65: 25/20 20/14
 27) 41: 25/21 13/12             54: 14/10 10/5
 28) 61: 25/19 21/20             55: 25/20 20/15 15/10 10/5
 29) 31: 25/22 19/18             51: 5/0 1/0
 30)  Losses 3 point                                               Wins 3 point and the match
