; [Site "BackgammonGalaxy"]
; [Match ID "9336210"]
; [Player 1 "jrod_in_nyc"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "8,00/0"]
; [EventDate "2024.07.09"]
; [EventTime "15.44"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 jrod_in_nyc : 0                 lasse : 0
  1)                             32: 24/21 13/11
  2) 44: 8/4 8/4 6/2 6/2         64:
  3)  Doubles => 2                Takes
  4) 44: 13/9 13/9 9/5 9/5       41: 25/24 13/9
  5) 31: 8/5 24/23               44: 8/4 8/4 6/2 6/2
  6) 41: 25/24 13/9              11: 8/7 7/6 6/5 6/5
  7) 51: 9/4 5/4                 31: 11/8 9/8
  8) 43: 13/9 13/10              63: 24/18 18/15
  9) 31: 25/22 6/5                Doubles => 4
 10)  Takes                      65: 24/18 18/13
 11) 22: 24/22 24/22 9/7 4/2     43: 13/9 9/6
 12) 65: 22/16 16/11             66: 13/7 13/7 13/7 15/9
 13) 21: 5/3 4/3                 32: 9/6 7/5
 14) 31: 11/8 8/7                53: 7/2 7/4
 15) 41: 22/18 2/1               51: 8/3 4/3
 16) 54:                         21: 6/4 8/7
 17) 66:                         31: 4/1 2/1
 18) 31:                         61: 7/1 1/0
 19) 62:                         32: 5/2 6/4
 20) 62:                         11: 2/1 1/0 4/3 3/2
 21) 21:                         11: 6/5 6/5 2/1 1/0
 22) 31:                         31: 5/2 5/4
 23) 41:                         43: 5/1 5/2
 24) 41:                         32: 4/1 2/0
 25) 65: 25/20 25/19             55: 4/0 4/0 3/0 3/0
 26) 62: 19/13 20/18             41: 2/0 1/0
 27) 43: 13/9 9/6                11: 1/0 1/0 1/0 2/1
 28) 11: 7/6 7/6 18/17 17/16     33: 2/0 1/0
                                  Wins 8 point

