; [Site "BackgammonGalaxy"]
; [Match ID "935052"]
; [Player 1 "blooms"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 blooms : 0                      lasse : 0
  1)                             53: 8/3 6/3
  2) 61: 13/7 8/7                54: 24/20 13/8
  3) 61: 13/7 6/5                51: 25/20 24/23
  4) 42: 25/21 7/5               43: 25/21 23/20
  5) 32: 25/23 24/21             53: 21/16 16/13
  6) 61: 13/7 6/5                51: 25/20 6/5
  7) 61: 25/24 24/18             64: 13/7 5/1
  8) 21: 25/24 25/23             54: 25/20 13/9
  9) 52: 23/18 18/16             31: 25/24 25/22
 10) 63: 24/18 16/13             31: 8/5 6/5
 11) 32: 23/21 21/18             63: 22/16 24/21
 12) 11: 8/7 8/7 7/6 7/6         33: 20/17 20/17 16/13 13/10
 13) 41: 7/3 3/2                 65: 21/15 15/10
 14) 62: 13/7 6/4                22: 13/11 13/11 11/9 11/9
 15) 43: 6/2 7/4                  Doubles => 2
 16)  Takes                      41: 13/9 9/8
 17) 21: 7/5 6/5                 41: 10/6 10/9
 18) 54: 18/13 18/14             41: 9/5 6/5
 19) 51: 13/12 12/7              54: 8/3 5/1
 20) 55: 14/9 9/4 6/1 6/1        32: 5/2 3/1
 21) 65: 21/15 15/10             44: 8/4 8/4 6/2 6/2
 22) 42:                         44: 17/13 17/13 13/9 13/9
 23) 51:                         31: 9/6 6/5
 24) 55:                         63: 9/3 5/2
 25) 63: 25/19 13/10             31: 9/6 6/5
 26) 43:                         53: 9/4 3/0
 27)  Losses 3 point                                               Wins 3 point and the match
