; [Site "BackgammonGalaxy"]
; [Match ID "9461159"]
; [Player 1 "lasse"]
; [Player 2 "mohsenbaher"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.14"]
; [EventTime "15.34"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       mohsenbaher : 0
  1) 42: 8/4 6/4                 52: 13/8 24/22
  2) 61: 13/7 8/7                63: 22/16 16/13
  3) 32: 8/5 7/5                 32: 24/22 13/10
  4) 31: 6/3 24/23               61: 25/24 24/18
  5) 31: 25/22 23/22             51: 10/5 6/5
  6) 65: 13/7 13/8               64:
  7)  Doubles => 2                Takes
  8) 63: 13/7 6/3                41: 25/24 13/9
  9) 31: 13/10 24/23             44: 8/4 8/4 6/2 6/2
 10) 55:                         64: 13/7 13/9
 11) 65:                         53: 13/8 7/4
 12) 66:                         44: 9/5 9/5 5/1 5/1
 13) 41:                         32: 8/5 4/2
 14) 21:                         51: 24/23 6/1
 15) 54:                         54: 6/1 5/1
 16) 43: 25/22 8/4               64: 23/17 17/13
 17) 21: 4/2 10/9                64: 8/2 8/4
 18) 31: 22/19 9/8               41: 5/1 5/4
 19) 43: 19/15 15/12             21: 25/23 2/1
 20) 66: 25/19 8/2 19/13 22/16   51: 25/24
 21) 64: 12/6 6/2                31: 4/1 2/1
 22) 53: 13/8 8/5                33: 4/1 4/1 4/1
 23) 43: 5/1 16/13               43:
 24) 62: 22/16 16/14             54:
 25) 43: 13/9 9/6                33:
 26) 54: 14/9 9/5                11: 25/24 2/1 2/1
 27) 51: 25/20 20/19             62:
 28) 41: 5/1 19/18               63:
 29) 62: 7/1 7/5                 42:
 30) 41: 18/14 14/13             44:
 31) 61: 13/7 7/6                31:
 32) 51: 5/0 6/5                 62:
 33) 31: 6/3 5/4                 43:
 34) 43: 4/0 3/0                 31:
 35) 42: 6/2 6/4                 62: 25/19 19/17
 36) 64: 5/0 4/0                 31: 17/16 16/13
 37) 44: 5/1 4/0 4/0 3/0         53: 13/10 10/5
 38) 64: 3/0 2/0                 52: 5/0 1/0
 39) 66: 2/0 2/0 1/0 1/0         62: 1/0 1/0
 40) 44: 1/0
      Wins 2 point
