; [Site "BackgammonGalaxy"]
; [Match ID "9491824"]
; [Player 1 "ltc"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.15"]
; [EventTime "19.18"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 ltc : 0                         lasse : 0
  1) 31: 8/5 6/5                 52: 13/8 24/22
  2) 21: 6/4 4/3                 21: 25/23 23/22
  3) 51: 25/20 24/23             11: 6/5 6/5 8/7 8/7
  4) 32: 25/22 24/22             64: 24/18 22/18
  5) 62: 23/21 21/15             21: 13/11 11/10
  6) 63: 25/22 22/16             43: 13/9 10/7
  7) 43: 25/22 13/9               Doubles => 2
  8)  Takes                      53: 9/4 7/4
  9) 52: 9/4 6/4                 41: 18/14 14/13
 10) 53: 13/8 8/5                42: 18/14 6/4
 11) 32: 13/11 11/8              53: 25/22 13/8
 12) 63: 22/16 16/13             65: 22/16 16/11
 13) 66: 22/16 22/16 13/7 8/2    54: 11/6 7/3
 14) 54: 8/3 7/3                 32: 8/5 8/6
 15) 11: 5/4 4/3 3/2 8/7         65: 13/7 13/8
 16) 52: 16/14 13/8              32: 8/5 7/5
 17) 32: 13/10 14/12             52: 7/2 8/6
 18) 44: 16/12 10/6 12/8 8/4     52: 5/0 2/0
 19) 41: 8/4 7/6                 61: 6/0 4/3
 20) 43: 12/8 8/5                54: 5/0 4/0
 21) 65: 6/0 5/0                 62: 6/0 6/4
 22) 63: 6/0 3/0                 65: 6/0 5/0
 23) 51: 5/0 4/3                 65: 6/0 5/0
 24) 21: 2/0 3/2                 21: 3/1 1/0
 25) 21: 2/0 6/5                 51: 5/0 4/3
 26) 55: 6/1 5/0 5/0 4/0         42: 4/0 3/1
 27) 65: 4/0 4/0                 43: 3/0 1/0
                                  Wins 2 point

