; [Site "BackgammonGalaxy"]
; [Match ID "9543540"]
; [Player 1 "maydin"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.17"]
; [EventTime "18.20"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 maydin : 0                      lasse : 0
  1)                             52: 13/8 24/22
  2) 61: 13/7 8/7                31: 8/5 6/5
  3) 42: 13/9 9/7                53: 8/3 6/3
  4) 42: 13/9 9/7                51: 22/21 21/16
  5) 31: 8/5 6/5                 62: 24/22 22/16
  6) 52: 8/3 7/5                  Doubles => 2
  7)  Takes                      64: 8/2 6/2
  8) 53: 24/21 7/2               42: 8/4 13/11
  9) 62:                         43: 11/7 7/4
 10) 43:                         62: 13/7 13/11
 11) 42:                         52: 11/6 13/11
 12) 61: 25/24 7/1               54: 16/11 11/7
 13) 32: 6/3 5/3                 63: 11/5 6/3
 14) 53: 7/2 6/3                 31: 5/2 3/2
 15) 64: 13/9 9/3                65:
 16) 31: 13/10 3/2               61: 25/24 24/18
 17) 65:                         42: 7/3 7/5
 18) 63:                         64: 18/12 12/8
 19) 65:                         55: 8/3 5/0 5/0 5/0
 20) 54: 25/20 10/6              61: 6/0 6/5
 21) 41: 25/24 24/20             32:
 22) 32: 20/17 17/15             21: 25/24 4/2
 23) 64: 24/18 18/14             41: 4/3
 24) 55: 6/1 15/10 10/5 14/9     61: 25/24 24/18
 25) 42: 25/21 9/7               52:
 26) 43: 21/17 17/14             62:
 27) 51: 14/9 3/2                63:
 28) 62: 24/18 18/16             51: 25/24
 29) 43: 5/1 9/6                 41: 25/21 3/2
 30) 11: 2/1 5/4 5/4 2/1         53: 25/20 20/17
 31) 54: 7/2 6/2                 32: 17/14 14/12
 32) 51: 16/11 11/10             11: 12/11 11/10 10/9 2/1
 33) 64: 10/4 4/0                64: 9/5 5/0
 34) 62: 6/0 2/0                 32: 3/0 2/0
 35) 53: 6/1 4/1                 21: 2/0 1/0
 36) 31: 3/0 1/0                 21: 2/0 2/1
 37) 51: 4/0 1/0                 53: 3/0 3/0
 38) 22: 2/0 2/0 2/0 3/1         62: 3/0 2/0
 39) 51: 3/0 1/0                 52: 1/0
                                  Wins 2 point

