; [Site "BackgammonGalaxy"]
; [Match ID "9543769"]
; [Player 1 "eryas"]
; [Player 2 "lasse"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.17"]
; [EventTime "18.28"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 eryas : 0                       lasse : 0
  1) 41: 13/9 24/23              66: 24/18 24/18 13/7 13/7
  2) 62: 9/3 23/21               63: 13/7 7/4
  3) 66:                          Doubles => 2
  4)  Takes                      22: 6/4 7/5 7/5 13/11
  5) 65:                         61: 13/7 8/7
  6) 64:                         63: 18/15 15/9
  7) 61: 25/24 13/7              11: 25/24 24/23 23/22 6/5
  8) 41: 25/24 7/3               51: 25/24 9/4
  9) 22: 6/4 6/4 24/22 24/22     61: 24/18 11/10
 10) 43: 8/4 6/3                 51: 5/4 18/13
 11) 51: 13/8 13/12              62: 25/23 10/4
 12) 66: 22/16 22/16 8/2 8/2     66:
 13) 65: 12/6 13/8               65: 25/20 20/14
 14) 55: 16/11 16/11 11/6 11/6   41: 25/24 24/20
 15) 42: 24/22 6/2               32: 6/3 20/18
 16) 21: 25/23 23/22             62:
 17) 11: 8/7 8/7 6/5 6/5         31: 25/24
 18) 11: 4/3 3/2 2/1 2/1         63:
 19) 62: 22/16 16/14             31:
 20) 61: 14/8 8/7                52:
 21) 21: 7/5 5/4                 53:
 22) 11: 7/6 7/6 4/3 3/2         52:
 23) 11: 6/5 6/5 5/4 5/4         42:
 24) 52: 6/1 6/4                 53:
 25) 54: 5/0 5/1                 54: 25/20
 26) 11: 1/0 1/0 4/3 3/2         52: 25/20 8/6
 27) 42: 4/0 2/0                 41: 20/16 7/6
 28) 32: 3/0 2/0                 54: 20/15 15/11
 29)  Doubles => 4                Drops
      Wins 2 point
