; [Site "BackgammonGalaxy"]
; [Match ID "956620"]
; [Player 1 "lasse"]
; [Player 2 "leos"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       leos : 0
  1) 54: 24/20 13/8              55: 13/8 8/3 8/3 13/8
  2) 11: 8/7 8/7 6/5 6/5         62: 24/22 22/16
  3) 66: 7/1 7/1 8/2 8/2         32: 25/22 16/14
  4) 42: 24/20 13/11             62:
  5) 43: 13/9 6/3                32: 25/22
  6) 32: 25/23 23/20             55:
  7) 21: 20/18 11/10             31: 25/22 8/7
  8) 51: 25/20 10/9              44: 22/18 22/18 18/14 18/14
  9) 63: 9/3 9/6                 31: 7/4 4/3
 10) 41: 20/16 16/15             62: 8/2 8/6
 11) 41: 15/14 14/10             65: 13/7 7/2
 12) 54: 13/8 13/9               33: 14/11 14/11 13/10 13/10
 13) 53: 9/4 6/3                 44: 11/7 11/7 10/6 10/6
 14) 61: 10/4 8/7                62: 7/1 6/4
 15) 42: 20/18 20/16             51:
 16) 31: 18/15 7/6               51:
 17) 62: 16/10 15/13             41:
 18) 43: 13/9 6/3                64:
 19) 42: 9/5 10/8                42:
 20) 64: 8/2 5/1                 53:
 21) 54: 6/1 6/2                 55:
 22) 42: 5/1 5/3                 43:
 23) 64: 4/0 4/0                 32:
 24) 32: 3/0 3/1                 63: 25/19 19/16
 25) 11: 1/0 1/0 1/0 1/0         41: 16/12 12/11
 26) 61: 3/0 1/0                 43: 11/7 7/4
 27) 64: 3/0 2/0                 63: 6/0 3/0
 28) 54: 2/0 2/0                 53: 6/1 3/0
 29) 54: 2/0 1/0
      Wins 1 point and the match
