; [Site "BackgammonGalaxy"]
; [Match ID "963565"]
; [Player 1 "lasse"]
; [Player 2 "nonotigernono"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       nonotigernono : 0
  1)                             32: 13/10 13/11
  2) 62: 24/18 13/11             61: 13/7 8/7
  3) 54: 25/20 24/20             43: 8/4 7/4
  4) 41: 11/7 8/7                61: 10/4 8/7
  5) 41: 13/9 6/5                21: 24/22 22/21
  6) 54: 9/5 13/8                65: 21/15 11/6
  7) 51: 8/3 6/5                 51: 15/10 4/3
  8) 53: 20/15 6/3               22: 25/23 7/5 7/5 23/21
  9) 52: 25/23 15/10             53: 21/16 6/3
 10) 22: 13/11 11/9 13/11 11/9   42: 25/23 6/2
 11) 64:                         61: 13/7 6/5
 12) 65:                         43: 24/21 6/2
 13) 65:                         54: 13/8 7/3
 14) 61: 25/24 10/4              43: 25/21 5/2
 15) 53:                         31: 8/5 2/1
 16) 53:                         33: 4/1 4/1 6/3 6/3
 17) 31:                         53: 5/2
 18) 22:                         51: 3/2
 19) 32:                         52: 23/21
 20) 52:                         54: 5/1
 21) 63: 25/19                   51: 5/4
 22) 32:                         53: 4/1
 23) 54: 25/20 20/16             41: 2/1
 24) 43: 19/15 16/13             41: 3/2
 25) 21: 13/11 15/14             52: 3/1
 26) 51: 11/6 14/13              52: 3/1
 27) 31: 5/2 6/5                 62: 21/15 3/1
 28) 62: 8/2 8/6                 41: 15/11 2/1
 29) 44: 9/5 9/5 5/1 5/1         11: 11/10 10/9 9/8 8/7
 30) 21: 6/4 5/4                 63:
 31) 32: 13/10 7/5               33:
 32) 41: 7/6 10/6                62:
 33) 53: 5/0 6/3                 54:
 34) 42: 6/2 2/0                 51:
 35) 21: 3/1 1/0                 63:
 36) 53: 6/1 6/3                 32:
 37) 54: 5/0 5/1                 43:
 38) 55: 4/0 4/0 3/0 3/0         42: 25/21 21/19
 39) 62: 3/0 2/0                 61: 19/13 7/6
 40) 42: 2/0 1/0                 21: 13/11 11/10
 41) 21: 1/0 1/0                 31: 10/7 7/6
 42) 54: 1/0
      Wins 1 point and the match
