; [Site "BackgammonGalaxy"]
; [Match ID "964352"]
; [Player 1 "lasse"]
; [Player 2 "bigbearbuddy"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       bigbearbuddy : 0
  1)                             51: 13/8 24/23
  2) 32: 24/21 13/11             61: 13/7 8/7
  3) 41: 24/20 21/20             41: 24/20 23/22
  4) 63: 11/5 8/5                32: 25/22 6/4
  5) 43: 13/9 13/10              21: 6/4 8/7
  6) 63: 13/7 10/7               31: 13/12 12/9
  7) 54: 25/20 20/16             33: 25/22 13/10 13/10 6/3
  8) 21: 16/14 9/8               63: 22/16 7/4
  9) 33: 14/11 11/8 8/5 8/5      43: 7/3 7/4
 10) 65: 20/14 14/9              62: 25/23 22/16
 11) 31: 25/24 6/3               31: 25/22 4/3
 12) 65: 25/20 24/18             62: 22/16 4/2
 13) 42: 18/14 14/12             11: 16/15 15/14 14/13 3/2
 14) 52: 25/20 6/4               44: 16/12 12/8 8/4 13/9
 15)  Doubles => 2                Takes
 16) 53: 7/2 7/4                 65:
 17) 51: 8/3 3/2                 44:
 18) 43: 20/16 16/13             62:
 19) 32: 6/3 5/3                 63:
 20) 51: 13/8 8/7                52:
 21) 42: 20/16 16/14             61: 25/24
 22) 44: 5/1 20/16 16/12 8/4     51: 25/24
 23) 11: 25/24 2/1 2/1 12/11     62: 25/23
 24) 66: 24/18 14/8 8/2 18/12    43:
 25) 63: 11/5 5/2                51:
 26) 61: 12/6 6/5                54:
 27) 11: 7/6 6/5 4/3 3/2         54:
 28) 63: 6/0 6/3                 61: 25/19
 29) 66: 5/0 5/0 5/0 5/0         63: 25/19 8/5
 30) 43: 4/0 3/0                 31: 19/16 19/18
 31) 62: 4/0 2/0                 54: 10/5 16/12
 32) 61: 3/0 1/0                 53: 18/13 13/10
 33) 43: 3/0 2/0                 41: 10/6 12/11
 34) 42: 2/0 1/0
      Wins 3 point and the match
