; [Site "BackgammonGalaxy"]
; [Match ID "966979"]
; [Player 1 "lasse"]
; [Player 2 "keeper"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "5,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

5 point match

 Game 1
 lasse : 0                       keeper : 0
  1)                             21: 13/11 24/23
  2) 62: 24/18 13/11             64: 13/7 11/7
  3) 54: 25/20 24/20             55: 23/18 18/13 6/1 6/1
  4) 64: 13/7 11/7               42: 8/4 6/4
  5) 31: 8/5 6/5                 64: 13/7 7/3
  6) 43: 13/9 9/6                65: 13/7 7/2
  7) 62: 13/7 13/11              63: 24/21 21/15
  8) 51: 11/10 10/5              31: 25/22 22/21
  9) 61: 20/14 5/4               51: 25/24 8/3
 10)  Doubles => 2                Takes
 11) 32: 20/17 6/4               66:
 12) 61: 17/11 6/5               11: 25/24 13/12 12/11 11/10
 13) 63:                          Doubles => 4
 14)  Takes                      42: 24/22 10/6
 15) 63:                         43: 6/2 13/10
 16) 62:                         43: 10/6 6/3
 17) 11:                         51: 7/2 7/6
 18) 66:                         62: 22/16 16/14
 19) 32:                         41: 24/23 14/10
 20) 33:                         62: 10/4 3/1
 21) 32:                         21: 23/22 4/2
 22) 11:                         66: 22/16 16/10 10/4 6/0
 23) 66:                         51: 6/1 6/5
 24) 63: 25/19                   53: 5/0 4/1
 25) 53: 25/20 19/16             22: 2/0 2/0 2/0 2/0
 26) 41: 7/6 16/12               61: 4/0 1/0
 27) 32: 8/6 20/17               61: 4/0 1/0
 28) 62: 12/6 8/6                54: 3/0 3/0
 29) 22: 17/15 15/13 13/11 11/9  63: 1/0 1/0
 30) 64: 9/3 7/3                 11: 1/0
                                  Wins 5 point and the match
