; [Site "BackgammonGalaxy"]
; [Match ID "972098"]
; [Player 1 "lasse"]
; [Player 2 "akula_ii"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       akula_ii : 0
  1) 64: 24/18 13/9              63: 13/7 24/21
  2) 11: 25/24 6/5 6/5 24/23     41: 13/9 8/7
  3) 32: 6/4 23/20               21: 25/23 9/8
  4) 31: 8/5 5/4                 54: 23/18 18/14
  5) 21: 13/11 11/10             61: 25/24 13/7
  6)  Doubles => 2                Takes
  7) 66: 13/7 13/7 20/14 13/7    43: 8/4 7/4
  8) 54: 14/9 24/20              52: 13/8 7/5
  9) 53: 25/20 10/7              31: 25/22 6/5
 10) 52: 25/20 20/18             62: 25/23
 11) 51: 8/3 3/2                 11: 25/24 25/24 25/24 8/7
 12) 42: 25/23 9/5               55: 8/3 8/3 13/8 7/2
 13) 61: 25/24 8/2               32: 24/22 6/3
 14) 41: 7/3 24/23               21: 25/24
 15) 42: 5/3 9/5                 33:
 16) 11: 7/6 6/5 5/4 4/3         43:
 17) 55: 23/18 18/13 7/2 13/8    52:
 18) 51: 8/3 7/6                 61: 25/24 24/18
 19) 21: 6/4 5/4                 21: 8/6 6/5
 20) 21: 6/4 6/5                 65: 24/18 24/19
 21) 31: 3/0 4/3                 61: 24/18 6/5
 22) 66: 5/0 5/0 5/0 4/0         63: 18/12 12/9
 23) 11: 4/3 4/3 4/3 3/2         54: 18/13 9/5
 24) 64: 3/0 3/0                 41: 13/9 3/2
 25) 52: 3/0 2/0                 63: 18/12 5/2
 26) 32: 3/0 2/0                 32: 12/9 9/7
 27) 51: 3/2 3/0                 32: 19/16 9/7
 28) 31: 2/0                     51: 16/11 11/10
 29) 32: 2/0 2/0
      Wins 3 point and the match
