; [Site "BackgammonGalaxy"]
; [Match ID "9789178"]
; [Player 1 "lasse"]
; [Player 2 "born2lose"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.26"]
; [EventTime "22.03"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       born2lose : 0
  1) 51: 13/8 24/23              33: 13/10 13/10 10/7 10/7
  2) 61: 13/7 8/7                42: 8/4 6/4
  3) 62: 24/22 22/16             32: 24/21 24/22
  4) 62: 16/10 10/8              22: 13/11 11/9 9/7 22/20
  5) 63: 23/20 20/14             44: 13/9 13/9 9/5 9/5
  6) 31: 8/5 6/5                 22: 25/23 23/21 6/4 7/5
  7) 61: 13/7 14/13              42: 7/3 5/3
  8)  Doubles => 2                Takes
  9) 61: 13/7 6/5                65: 8/2 7/2
 10) 51: 7/2 2/1                 53: 21/16 8/5
 11) 21: 6/4 5/4                 64:
 12) 61: 7/1 8/7                 41:
 13) 31: 13/10 10/9              63: 25/22
 14) 53: 13/8 9/6                52: 25/23 6/1
 15) 42: 8/4 7/5                 44: 5/1 6/2 6/2 5/1
 16) 62: 8/2 4/2                 53: 25/22 22/17
 17) 43:                         32: 17/14 5/3
 18) 62: 25/19 5/3               51:
 19) 43: 7/3 19/16               65:
 20) 61: 7/1 6/5                 41:
 21) 54: 16/11 11/7              41:
 22) 63: 7/1 5/2                 61:
 23) 64: 6/0 6/2                 31:
 24) 33: 3/0 3/0 5/2 5/2         63: 25/22 25/19
 25) 22: 2/0 2/0 2/0 2/0         22: 19/17 17/15 15/13 13/11
 26) 64: 4/0 4/0                 41: 22/18 18/17
 27) 32: 2/0 2/0                 51: 11/6 17/16
 28) 53: 1/0 1/0                 54: 16/11 11/7
 29) 32: 1/0 1/0
      Wins 4 point
