; [Site "BackgammonGalaxy"]
; [Match ID "9789645"]
; [Player 1 "skrat"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.07.26"]
; [EventTime "22.24"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 skrat : 0                       lasse : 0
  1) 32: 24/21 13/11             11: 6/5 6/5 5/4 5/4
  2) 63: 25/22 22/16             22: 13/11 11/9 13/11 11/9
  3) 66:                          Doubles => 2
  4)  Takes                      55: 8/3 8/3 6/1 13/8
  5) 52: 25/23 25/20             63: 8/5 24/18
  6) 53: 25/20 20/17             53: 25/22 25/20
  7) 32: 8/5 5/3                 31: 25/24 25/22
  8) 32: 25/23 11/8              53: 13/8 13/10
  9) 64:                         21: 10/8 24/23
 10) 43:                         64: 24/18 22/18
 11) 61: 25/24 24/18             42: 25/21 9/7
 12) 31: 25/24 6/3               31: 23/22 21/18
 13) 64:                         32: 8/5 7/5
 14) 42: 25/23 6/2               33: 18/15 18/15 18/15 18/15
 15) 61: 23/17 17/16             42: 25/23 25/21
 16) 62: 25/23 24/18             51: 15/10 10/9
 17) 55:                         65: 15/9 21/16
 18) 32: 25/23 18/15             51: 15/10 22/21
 19) 61: 25/24 24/18             64: 16/10 15/11
 20) 21: 8/6 18/17               21: 10/8 9/8
 21) 51: 25/24 13/8              61: 21/15 10/9
 22) 32: 13/10 10/8              22: 25/23 9/7 9/7 23/21
 23) 54: 13/8 6/2                51: 25/20 11/10
 24) 61: 13/7 8/7                42: 20/16 16/14
 25) 65: 8/2 8/3                 53: 21/16 14/11
 26) 53: 8/3 7/4                 65: 11/6 16/10
 27) 31: 7/4 24/23               63: 10/4 10/7
 28) 42: 8/4 4/2                 41: 7/3 6/5
 29) 65: 6/1                     62: 7/1 7/5
 30) 31: 6/3 2/1                 61: 8/7 7/1
 31) 63: 23/17 6/3               66: 25/19 19/13 13/7 7/1
 32) 51: 23/18 17/16             11: 1/0 1/0 1/0 5/4
 33) 42: 18/14 14/12             65: 6/0 6/1
 34) 65: 12/6 16/11              44: 4/0 5/1 5/1 5/1
 35) 54: 11/6 23/19              63: 4/0 3/0
 36) 61: 19/13 13/12             54: 4/0 4/0
 37) 11: 12/11 11/10 10/9 9/8    42: 3/1 3/0
 38) 63: 23/17 23/20             42: 1/0 1/0
 39) 55: 20/15 15/10 17/12 10/5  61: 1/0 1/0
 40) 43: 12/8 8/5                65: 1/0
                                  Wins 4 point

