; [Site "BackgammonGalaxy"]
; [Match ID "9789943"]
; [Player 1 "lasse"]
; [Player 2 "mariopartychamp"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.26"]
; [EventTime "22.37"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       mariopartychamp : 0
  1) 51: 13/8 24/23              21: 13/11 24/23
  2) 65: 24/18 23/18             63: 11/5 8/5
  3) 21: 13/11 11/10             51: 13/8 6/5
  4) 62: 10/4 6/4                21: 24/22 23/22
  5) 32: 13/10 6/4               55: 13/8 8/3 8/3 6/1
  6) 53: 10/5 8/5                64: 8/2 6/2
  7) 42: 6/2 4/2                 52: 8/3 3/1
  8) 63: 13/7 7/4                11: 13/12 13/12 12/11 12/11
  9) 44: 25/21 21/17 17/13 8/4   42: 6/2 6/4
 10)  Doubles => 2                Takes
 11) 32: 13/10 10/8              62: 22/16 16/14
 12) 61: 18/12 12/11             66:
 13) 63: 18/12 8/5               64:
 14) 32: 5/3 11/8                43: 25/22
 15) 41: 25/21 4/3               21: 25/24
 16) 11: 4/3 2/1 2/1 8/7         51:
 17) 32: 12/9 8/6                32: 25/23
 18) 63: 8/2 21/18               52: 25/23
 19) 65: 25/19 7/2               42: 25/23
 20) 11:                         43:
 21) 22:                         41:
 22) 62: 25/19 9/7               63:
 23) 52: 7/2 18/16               52: 25/23
 24) 52:                         63:
 25) 64: 25/19 6/2               41:
 26) 51: 16/11 11/10             43:
 27) 33: 5/2 5/2 19/16 16/13     63:
 28) 42: 13/9 10/8               65: 25/20
 29) 21: 8/6 6/5                 62:
 30) 41: 9/5 19/18               11:
 31) 62: 19/13 18/16             41:
 32) 62: 16/10 13/11             52:
 33) 11: 10/9 9/8 8/7 7/6        54:
 34) 21: 11/9 9/8                11:
 35) 51: 8/3 6/5                 31:
 36) 32: 3/0 5/3                 32:
 37) 31: 3/0 2/1                 52:
 38) 51: 5/0 5/4                 63:
 39) 21: 4/2 1/0                 54: 25/20
 40) 52: 6/1 6/4                 61: 25/19
 41) 61: 4/0 1/0                 64: 25/19 20/16
 42) 52: 4/0 2/0                 42: 19/15 19/17
 43) 64: 4/0 3/0                 11: 15/14 14/13 13/12 11/10
 44) 53: 3/0 2/0                  Losses 4 point
      Wins 4 point
