; [Site "BackgammonGalaxy"]
; [Match ID "9806694"]
; [Player 1 "lasse"]
; [Player 2 "sgardino"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.27"]
; [EventTime "16.12"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       sgardino : 0
  1)                             42: 8/4 6/4
  2) 32: 13/10 24/22             52: 13/8 13/11
  3) 53: 10/5 8/5                44: 13/9 13/9 9/5 9/5
  4) 64: 22/16 16/12             43: 25/21 24/21
  5) 53: 13/8 8/5                66: 21/15 15/9 21/15 15/9
  6) 55: 6/1 6/1 8/3 8/3         42: 25/21 11/9
  7) 52: 6/4 13/8                33:
  8)  Doubles => 2                Takes
  9) 43: 8/4 13/10               53:
 10) 21: 13/11 10/9              66:
 11) 42: 24/22 22/18             62: 25/23 9/3
 12) 52: 18/13 11/9              32: 6/3 8/6
 13) 61: 12/6 5/4                55: 23/18 18/13 13/8 8/3
 14) 43: 9/5 9/6                 53: 9/4 8/5
 15) 51: 13/8 8/7                32: 9/6 8/6
 16) 31: 7/4 1/0                 43: 4/0 3/0
 17) 42: 4/0 4/2                 21: 3/1 6/5
 18) 53: 5/0 3/0                 42: 4/0 6/4
 19) 52: 5/0 2/0                 52: 5/0 4/2
 20) 21: 1/0 6/4                 66: 6/0 6/0 6/0 6/0
 21) 61: 6/0 4/3                  Doubles => 4
 22)  Drops                       Wins 2 point

