; [Site "BackgammonGalaxy"]
; [Match ID "9808950"]
; [Player 1 "lasse"]
; [Player 2 "kathrinbg"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.27"]
; [EventTime "18.04"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       kathrinbg : 0
  1)                             65: 24/18 18/13
  2) 42: 8/4 6/4                 32: 13/10 13/11
  3) 54: 24/20 20/15             65: 25/20 24/18
  4)  Doubles => 2                Takes
  5) 43: 15/11 11/8              33: 11/8 8/5 8/5 13/10
  6) 52: 24/22 13/8              64: 20/14 18/14
  7) 63: 22/16 16/13             54: 13/8 8/4
  8) 11: 6/5 8/7 7/6 8/7         54: 14/9 14/10
  9) 43: 13/9 13/10              43: 13/9 13/10
 10) 52: 8/3 7/5                 62: 10/4 8/6
 11) 53: 9/4 8/5                 52: 10/5 8/6
 12) 64: 10/4 13/9               22: 10/8 8/6 9/7 7/5
 13) 64: 9/5 13/7                51: 9/4 4/3
 14) 64: 13/7 7/3                53: 5/0 3/0
 15) 64: 7/3 6/0                 44: 4/0 4/0 6/2 6/2
 16) 65: 6/0 5/0                 65: 6/0 5/0
 17) 65: 6/0 5/0                 31: 6/3 6/5
 18) 65: 6/0 5/0                 44: 6/2 5/1 6/2 5/1
 19) 41: 4/0 3/2                 54: 5/0 6/2
 20) 41: 4/0 2/1                  Doubles => 4
 21)  Drops                       Wins 2 point

