; [Site "BackgammonGalaxy"]
; [Match ID "9815303"]
; [Player 1 "lasse"]
; [Player 2 "ipsg0302"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.27"]
; [EventTime "22.45"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       ipsg0302 : 0
  1)                             41: 13/9 24/23
  2) 64: 8/2 6/2                 53: 25/20 24/21
  3) 32: 8/5 6/4                 63: 25/22
  4) 11: 6/5 4/3 24/23 23/22     43: 25/22 25/21
  5) 32: 25/22 8/6               43: 9/5 8/5
  6) 51: 24/23 23/18             21: 22/21 6/4
  7) 63: 22/16 16/13             53: 8/3 6/3
  8) 62: 25/23 23/17             11: 25/24 5/4 6/5 3/2
  9) 52: 18/13 17/15             63: 13/10 10/4
 10) 31: 25/22 6/5               62:
 11) 52: 22/17 13/11             22:
 12) 31: 17/14 14/13             65:
 13)  Doubles => 2                Takes
 14) 41: 11/7 7/6                21: 25/24 4/2
 15) 52: 13/8 8/6                64: 13/7 7/3
 16) 65: 13/7 7/2                61: 13/7 7/6
 17) 51: 13/12 13/8              21: 25/24 24/22
 18) 32: 6/3 5/3                 21: 25/24 3/1
 19) 44: 12/8 13/9 13/9 13/9     54: 6/1 5/1
 20) 54: 8/3 9/5                 21: 6/5 6/4
 21) 42: 8/6 6/2                 52: 4/2
 22) 22: 9/7 9/7 7/5 7/5         65: 24/18 18/13
 23) 52: 5/0 2/0                 53: 13/8 8/5
 24) 63: 6/0 5/2                 21: 5/3 4/3
 25) 63: 6/0 6/3                 42: 21/17 17/15
 26) 65: 5/0 5/0                 54: 24/19 24/20
 27) 64: 25/21 21/15             64: 25/19 15/11
 28) 41: 15/14 14/10             11: 25/24 21/20 2/1 2/1
 29) 53: 10/7 7/2                32: 20/17 19/17
 30) 64: 3/0 3/0                 33: 17/14 14/11 11/8 8/5
 31) 21: 2/0 2/1                 61: 25/24 24/18
 32) 22: 25/23 23/21 3/1 3/1     54: 25/20 20/16
 33) 43: 21/18 18/14             42: 17/13 13/11
 34) 44: 25/21 21/17 17/13 13/9  64: 25/19 20/16
 35) 22: 25/23 23/21 21/19 19/17 63: 11/8 19/13
 36) 63: 25/19 19/16             53: 13/8 8/5
 37) 41: 16/12 12/11             53: 19/14 14/11
 38) 31:                         66: 18/12 11/5 16/10 8/2
 39) 42: 25/23 23/19             54: 25/20 10/6
 40) 64: 25/19 19/15             54: 25/21 12/7
 41) 53: 15/12 12/7              32: 21/18 20/18
 42) 51:                         21: 7/5 18/17
 43) 53:                         65: 18/12 17/12
 44) 66: 25/19                   51: 12/7 7/6
 45) 65: 25/19 19/14             54: 25/20 12/8
 46) 54: 14/10 10/5              62: 25/19 8/6
 47) 53: 5/0 2/0                 64: 19/13 13/9
 48) 66: 2/0 2/0 1/0 1/0
      Wins 4 point
