; [Site "BackgammonGalaxy"]
; [Match ID "1032950"]
; [Player 1 "lasse"]
; [Player 2 "meisampourtaghi"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       meisampourtaghi : 0
  1)                             62: 24/18 24/22
  2) 42: 8/4 6/4                 41: 22/18 6/5
  3) 44: 24/20 24/20 13/9 13/9   21: 25/24 6/4
  4) 61: 20/14 14/13             43: 8/4 8/5
  5) 21: 25/23 23/22             21: 8/6 6/5
  6) 31: 13/10 10/9              63: 13/7 6/3
  7) 21: 25/23 23/22             66:
  8) 62: 22/16 16/14             64:
  9)  Doubles => 2                Takes
 10) 65: 14/8 13/8               65: 25/20 13/7
 11) 51: 8/3 3/2                 53: 13/8 8/5
 12) 53: 8/3 6/3                 11: 24/23 5/4 7/6 6/5
 13) 11: 25/24 3/2 3/2 24/23     61: 25/24 13/7
 14) 33: 8/5 8/5 4/1 4/1         61:
 15) 31: 13/12 13/10             63: 25/22
 16) 21: 23/22 12/10             21:
 17) 11: 5/4 5/4 4/3 4/3         31:
 18) 65: 22/16 16/11             62:
 19) 41: 9/5 6/5                 52:
 20) 22: 6/4 6/4 10/8 10/8       41:
 21) 22: 8/6 8/6 6/4 6/4         21:
 22) 51: 9/4 11/10               62: 25/19
 23) 42: 10/6 6/4                41:
 24) 54: 9/5 5/0                 66: 25/19 25/19 25/19 19/13
 25) 62: 5/0 2/0                 63: 18/12 19/16
 26) 52: 5/0 2/0                 62: 12/6 7/5
 27) 53: 4/0 3/0                 61: 18/12 7/6
 28) 64: 4/0 4/0                 42: 16/12 19/17
 29) 51: 4/0 1/0                 31: 13/10 12/11
 30) 31: 3/0 1/0                 43: 10/6 17/14
 31) 54: 4/0 4/0
      Wins 3 point and the match
