; [Site "BackgammonGalaxy"]
; [Match ID "1112717"]
; [Player 1 "lasse"]
; [Player 2 "earl"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       earl : 0
  1) 31: 8/5 6/5                 53: 13/8 13/10
  2) 54: 24/20 20/15             52: 25/23 23/18
  3) 64: 13/7 15/11              43: 25/21 21/18
  4) 33: 25/22 13/10 10/7 13/10  53: 25/22 6/1
  5)  Doubles => 2                Takes
  6) 63: 25/22 13/7              42: 24/22 13/9
  7) 32: 13/10 11/9              21: 9/7 8/7
  8) 22: 6/4 6/4 22/20 22/20     66: 22/16 22/16 7/1 13/7
  9) 42: 25/23 10/6              53: 8/3 6/3
 10) 31: 10/7 6/5                54: 13/8 6/2
 11) 66:                         64: 8/2 16/12
 12) 51: 25/20 7/6               52: 24/22 12/7
 13) 63: 20/14 6/3               42: 25/23 16/12
 14) 61: 14/13 13/7              41: 25/24 7/3
 15) 66: 8/2 8/2 7/1 7/1         64:
 16) 66: 20/14 20/14 14/8 14/8   61:
 17) 21: 5/3 7/6                 55:
 18) 65: 8/2 8/3                 44:
 19) 33: 6/3 6/3 6/3 3/0         53:
 20) 21: 2/0 3/2                 32:
 21) 61: 5/0 5/4                 42:
 22) 44: 4/0 4/0 4/0 3/0         62: 25/19
 23) 53: 3/0 3/0                 62: 25/19 19/17
 24) 33: 3/0 2/0 2/0 2/0          Losses 3 point

      Wins 3 point and the match
