; [Site "BackgammonGalaxy"]
; [Match ID "1141493"]
; [Player 1 "lasse"]
; [Player 2 "yves"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       yves : 0
  1)                             53: 8/3 6/3
  2) 53: 8/3 6/3                 41: 13/9 24/23
  3) 54: 24/20 13/8              53: 13/8 8/5
  4) 42: 25/23 24/20             61: 25/24 24/18
  5) 42: 20/16 23/21             44: 25/21 13/9 8/4 8/4
  6) 62: 25/23                   22: 6/4 6/4 4/2 4/2
  7) 52: 25/20                   66: 13/7 13/7 7/1 7/1
  8) 54: 25/20 20/16             22: 25/23 23/21 23/21 18/16
  9) 44: 13/9 13/9 20/16 16/12   54: 25/20 24/20
 10)  Doubles => 2                Takes
 11) 61: 12/6 16/15              53: 21/18 18/13
 12) 65: 15/9 6/1                32: 21/18 20/18
 13) 32: 6/4 4/1                 63:
 14) 41: 9/5 6/5                 41: 25/21
 15) 65: 9/3 9/4                 41: 25/21
 16) 66:                         62: 25/23 21/15
 17) 41:                          Doubles => 4
 18)  Takes                      31: 15/14 14/11
 19) 42:                         61: 13/7 11/10
 20) 51: 25/20 3/2               54: 25/21 10/5
 21) 61:                         62: 21/15 7/5
 22) 61:                         44: 18/14 14/10 18/14 15/11
 23) 62:                         42: 14/10 10/8
 24) 63:                         21: 8/6 10/9
 25) 41:                         62: 11/5 9/7
 26) 32:                         52: 7/2 2/0
 27) 21:                         41: 6/2 5/4
 28) 31:                         41: 6/2 6/5
 29) 62: 25/19 8/6               63: 5/0 3/0
 30) 43: 13/9 13/10              41: 4/0 1/0
 31) 31: 9/6 19/18               32: 3/0 2/0
 32) 66: 18/12 12/6 10/4 8/2     55: 5/0 5/0 4/0 4/0
 33) 11: 8/7 7/6 1/0 1/0         21: 2/0 1/0
 34) 63: 6/0 3/0                 41: 2/1 2/0
 35) 61: 6/0 2/1                 43: 1/0
                                  Wins 4 point and the match
