; [Site "BackgammonGalaxy"]
; [Match ID "1173715"]
; [Player 1 "lasse"]
; [Player 2 "malibupips"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

8 point match

 Game 1
 lasse : 0                       malibupips : 0
  1) 42: 8/4 6/4                 41: 13/9 24/23
  2) 43: 24/20 13/10             65: 24/18 23/18
  3) 53: 24/21 21/16             55: 25/20 20/15 15/10 10/5
  4) 44: 25/21 25/21 13/9 13/9   61: 8/2 6/5
  5) 53: 16/11 11/8              43: 13/9 9/6
  6) 63: 9/3 6/3                 61: 13/7 7/6
  7) 31: 8/5 6/5                 11: 8/7 8/7 6/5 6/5
  8) 64: 8/2 9/5                 41: 5/1 2/1
  9) 63: 8/2 5/2                 65: 13/7 7/2
 10)  Doubles => 2                Takes
 11) 65: 21/15 15/10             51: 13/8 8/7
 12) 51: 21/16 10/9              51: 7/2 5/4
 13) 63: 9/3 16/13               11: 18/17 18/17 17/16 17/16
 14) 43: 13/10 10/6              54: 6/1 6/2
 15) 64: 13/7 7/3                54: 16/12 12/7
 16) 53: 25/22 22/17             41: 7/3 4/3
 17) 62: 17/11 11/9              11: 25/24 7/6 6/5 5/4
 18) 31: 9/6 6/5                 22: 6/4 6/4 7/5 5/3
 19) 32: 3/0 2/0                 51: 4/3
 20) 51: 5/0 6/5                 31: 5/2 5/4
 21) 66: 6/0 6/0 5/0 5/0         51: 24/19 19/18
 22) 65: 5/0 4/0                 44: 18/14 14/10 10/6 4/0
 23) 31: 3/0 2/1                 61: 6/0 1/0
 24) 61: 4/0 1/0                  Losses 2 point
      Wins 2 point
