; [Site "BackgammonGalaxy"]
; [Match ID "1400751"]
; [Player 1 "kawasemi"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 kawasemi : 0                    lasse : 0
  1)                             64: 24/18 13/9
  2) 41: 8/7 24/20               52: 25/20 20/18
  3) 61: 25/24 13/7              64: 25/21 24/18
  4) 32: 25/22 22/20             21: 21/20 20/18
  5) 53: 24/21 21/16             54: 25/20 13/9
  6) 64: 25/21 21/15             62: 13/7 9/7
  7) 66: 20/14 20/14 15/9 9/3    63: 13/7 13/10
  8) 43: 14/10 13/10             63: 20/14 14/11
  9) 11: 25/24 6/5 6/5 24/23     54: 7/2 6/2
 10) 61: 25/24 10/4               Doubles => 2
 11)  Takes                      52: 18/13 13/11
 12) 53: 10/7 8/3                54: 25/21 21/16
 13) 63: 25/22 13/7              41: 16/15 15/11
 14) 51: 13/8 22/21              66: 11/5 11/5 10/4 11/5
 15) 44: 25/21 8/4 8/4 13/9      62: 25/23 23/17
 16) 41: 9/8 8/4                 41: 25/24 8/4
 17) 41: 25/21 6/5               31: 25/24 6/3
 18)  Doubles => 4                Takes
 19) 53: 21/16 24/21             21: 24/23 5/3
 20) 21: 4/2 2/1                 51: 25/24
 21) 54: 25/21 21/16             33:
 22) 64: 21/15 16/12             22: 25/23 8/6 6/4 6/4
 23) 51: 15/14 16/11             32: 8/5 5/3
 24) 42: 12/8 8/6                31: 24/23 7/4
 25) 54: 11/6 14/10              64: 23/17 17/13
 26) 43: 6/2 5/2                 63:
 27) 43: 10/6 6/3                43:
 28) 21: 3/1 6/5                 43:
 29) 64: 24/18 5/1               65:
 30) 51: 18/13 7/6               54:
 31) 65: 13/7 7/2                22:
 32) 41: 7/3 6/5                 54:
 33) 52: 6/1 6/4                 43:
 34) 32: 4/1 5/3                 51:
 35) 64: 5/0 5/1                 31:
 36) 65: 4/0 4/0                 61: 25/19
 37) 31: 3/0 3/2                 42: 25/21 19/17
 38) 53: 3/0 3/0                 52: 17/12 13/11
 39) 31: 2/0 1/0                 62: 12/6 11/9
 40) 61: 2/0 1/0                 22: 21/19 19/17 9/7 7/5
 41) 52: 2/0 2/0                 61: 17/11 11/10
 42) 52: 1/0 1/0                 51: 10/5 2/1
 43) 54: 1/0
      Wins 3 point and the match
