; [Site "BackgammonGalaxy"]
; [Match ID "1436707"]
; [Player 1 "villager"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 villager : 0                    lasse : 0
  1) 32: 13/10 13/11             11: 6/5 6/5 8/7 8/7
  2) 61: 24/23 23/17             33: 25/22 24/21 21/18 18/15
  3) 21: 25/23 11/10             55: 25/20 20/15 13/8 13/8
  4) 63: 25/22                   63: 6/3 15/9
  5) 43: 25/22 25/21              Doubles => 2
  6)  Takes                      65: 25/20 9/3
  7) 54: 25/21 6/1               51: 25/24 20/15
  8) 53: 25/22 6/1               21: 25/24 25/23
  9) 51: 25/24 13/8              65: 24/18 23/18
 10) 44: 8/4 8/4 13/9 13/9       22: 13/11 13/11 11/9 11/9
 11) 64: 8/2 8/4                 21: 22/20 15/14
 12) 32: 24/21 24/22             65: 18/12 18/13
 13) 22: 9/7 9/7 7/5 7/5         64:
 14) 51: 6/1 2/1                 54:
 15) 21: 4/2 2/1                 31: 25/22 13/12
 16) 44: 6/2 6/2 5/1 5/1         43: 14/10 13/10
 17) 53: 4/1                     52: 12/7 12/10
 18) 42: 4/2                     55: 7/2 10/5 22/17 17/12
 19) 54: 25/21                   33: 12/9 9/6 9/6 9/6
 20) 65: 21/16 16/10             42: 10/6 10/8
 21) 62: 21/15 15/13             62: 7/1 7/5
 22) 21: 13/11 2/1               11: 8/7 7/6 8/7 8/7
 23) 66: 21/15 21/15 15/9 15/9   64: 7/1 6/2
 24) 51: 11/6 6/5                42: 7/5 6/2
 25) 42: 9/5 10/8                42: 6/2 2/0
 26) 61: 8/2 2/1                 64: 6/0 5/1
 27) 41: 5/1 5/4                 32: 5/2 2/0
 28) 32: 4/1 9/7                 32: 5/2 2/0
 29) 42: 7/3 3/1                 33: 5/2 5/2
 30) 21: 22/20 22/21             32: 6/3 2/0
 31) 51: 20/15 15/14             43: 6/2 6/3
 32) 52: 21/16 16/14             53: 3/0 3/0
 33) 54: 14/9 14/10              32: 2/0 2/0
 34) 33: 10/7 9/6 7/4 6/3        65: 2/0 2/0
 35) 52: 2/0 4/0                 66: 2/0 1/0 1/0 1/0
                                  Wins 2 point

