; [Site "BackgammonGalaxy"]
; [Match ID "1501263"]
; [Player 1 "morpheoua38"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "5,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

5 point match

 Game 1
 morpheoua38 : 0                 lasse : 0
  1)                             51: 13/8 24/23
  2) 42: 8/4 6/4                 43: 24/20 23/20
  3) 53: 13/8 24/21              21: 6/4 4/3
  4) 31: 25/22 22/21             64:
  5) 66: 21/15 15/9 13/7 13/7    54: 25/20 20/16
  6) 63: 25/22 24/18             11: 8/7 8/7 6/5 6/5
  7) 53: 25/22 8/3               61: 16/10 10/9
  8) 42: 8/4 8/6                  Doubles => 2
  9)  Takes                      52: 13/8 13/11
 10) 66: 22/16 22/16 16/10 16/10 53: 25/22 11/6
 11) 65:                         42: 8/4 6/4
 12) 52: 25/23 6/1               21: 13/11 11/10
 13) 21: 23/22 6/4               41: 13/9 10/9
 14) 54: 13/8 8/4                61: 20/14 14/13
 15) 55: 10/5 10/5 13/8 6/1      21: 25/23 13/12
 16) 53: 8/3 4/1                 42: 25/23 12/8
 17) 54: 7/3 6/1                 41: 23/19 19/18
 18) 32: 25/23 25/22             41: 18/14 14/13
 19) 52: 4/2                     33:
 20) 54: 5/1                     53: 25/20 13/10
 21) 41: 25/24                   52: 9/4 9/7
 22) 64: 22/16 16/12             44: 7/3 7/3 10/6 6/2
 23) 22: 25/23 25/23 4/2 12/10   31:
 24) 51: 23/18 10/9              51: 25/20
 25) 61: 24/18 9/8               66: 25/19 8/2 8/2 20/14
 26) 33:                         61: 14/8 19/18
 27) 41: 25/24 8/4               32: 4/1 20/18
 28) 32:                         42: 8/4 8/6
 29) 61: 25/24 24/18             52: 25/20 4/2
 30) 52: 18/13 4/2               52: 20/15 6/4
 31) 62: 18/12 12/10             63: 25/19 18/15
 32) 51: 25/24 18/13             53: 4/1 15/10
 33) 51: 25/24 13/8              21:
 34)  Doubles => 4                Takes
 35) 32: 8/6 6/3                 65: 25/20 25/19
 36) 22: 13/11 11/9 9/7 7/5      52: 25/20
 37) 51: 25/24                    Doubles => 8
 38)  Takes                      64: 25/19 19/15
 39) 31: 4/1 4/3                 43: 10/6 19/16
 40) 43:                         21: 16/14 20/19
 41) 31: 2/1                     53: 19/14 14/11
 42) 64: 24/18 18/14             55: 25/20 6/1 14/9 9/4
 43) 54:                         61: 2/1 20/14
 44) 65:                         53: 14/11 15/10
 45) 65:                         61: 11/5 10/9
 46) 21:                         54: 9/4 5/1
 47) 43:                         51: 6/1 6/5
 48) 65: 25/19                   64: 5/0 4/0
 49) 21:                         42: 5/1 5/3
 50)  Losses 5 point                                               Wins 5 point and the match
