; [Site "BackgammonGalaxy"]
; [Match ID "2017666"]
; [Player 1 "lasse"]
; [Player 2 "yvesnegre"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.08"]
; [EventTime "13.22"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       yvesnegre : 0
  1) 41: 13/9 24/23              41: 6/2 2/1
  2) 51: 25/24 25/20             43: 25/21 8/5
  3) 52: 25/20 6/4               42: 25/23 25/21
  4) 43: 25/22 24/20             62: 24/18 18/16
  5) 52: 25/20 6/4               21: 25/24 23/21
  6) 64: 25/21 22/16             31: 13/10 10/9
  7) 63: 25/22 22/16             33: 25/22 16/13 13/10 13/10
  8) 62: 16/10 6/4               42: 25/21 6/4
  9) 65: 25/20                   52: 6/4 13/8
 10) 62: 25/23 10/4              22: 25/23 23/21 24/22 8/6
 11) 42: 25/23 20/16             22: 13/11 13/11 11/9 11/9
 12) 32: 25/22 13/11             61: 21/15 15/14
 13) 65: 25/20 20/14             41: 14/10 22/21
 14) 63: 20/14 13/10             51: 21/16 16/15
 15) 62: 25/23 13/7               Doubles => 2
 16)  Takes                      52: 10/8 8/3
 17) 53: 25/22 23/18             21: 25/23 23/22
 18) 53: 23/18 13/10             51: 25/20 24/23
 19) 62: 22/20 20/14             42: 22/18 20/18
 20) 22: 25/23 8/6 14/12 12/10   55: 23/18 18/13 18/13 18/13
 21) 32: 23/20 20/18             21: 13/12 12/10
 22) 51: 10/5 6/5                41: 10/6 22/21
 23) 43: 14/10 14/11             11: 4/3 4/3 3/2 3/2
 24) 61: 25/24 11/5              53: 21/16 16/13
 25) 31: 10/7 5/4                53: 13/8 6/3
 26) 22: 24/22 8/6 6/4 10/8      51: 25/24 8/3
 27) 54: 25/21 18/13             21: 6/4 4/3
 28) 51: 25/20 8/7               32: 24/22 6/3
 29) 31: 20/19 13/10             32: 25/22 3/1
 30)  Doubles => 4                Takes
 31) 44: 18/14 14/10 18/14 8/4   31: 9/6 9/8
 32) 51: 25/24 24/19             61: 25/24
 33) 64: 14/8 20/16              64:
 34) 51: 16/11 20/19             61: 25/24 8/2
 35) 53: 11/8 10/5               21: 24/22 2/1
 36) 61: 19/13 19/18             43: 8/4 4/1
 37) 52: 18/13 10/8              21: 24/22 10/9
 38) 51: 8/7 7/2                 63: 22/16 16/13
 39) 41: 5/1 2/1                 62: 22/16 13/11
 40) 22: 13/11 13/11 11/9 11/9   65:
 41) 41: 9/5 9/8                 21: 25/23 13/12
 42) 64: 8/2 5/1                 64:
 43) 66: 8/2 8/2 7/1 7/1         64:
 44) 22: 6/4 6/4 4/2 2/0         52:
 45) 61: 5/0 5/4                 54: 25/20 10/6
 46) 31: 4/1 1/0                 44: 13/9 9/5 9/5 20/16
 47) 11: 1/0 1/0 1/0 1/0         66: 12/6 16/10 10/4 11/5
 48) 65: 4/0 4/0                 64: 22/16 8/4
 49) 65: 4/0 4/0                  Losses 3 point

      Wins 3 point and the match
