; [Site "BackgammonGalaxy"]
; [Match ID "2102237"]
; [Player 1 "lasse"]
; [Player 2 "carsten_bg"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.09.11"]
; [EventTime "19.32"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       carsten_bg : 0
  1)                             54: 24/20 13/8
  2) 51: 13/8 6/5                43: 25/22 24/20
  3) 21: 25/23 6/5               42: 25/21 22/20
  4) 53: 25/20 8/5                Doubles => 2
  5)  Takes                      11: 25/24 6/5 6/5 21/20
  6) 65:                         21: 13/11 8/7
  7) 11: 25/24 25/24 24/23 6/5   43: 25/22 24/20
  8) 21: 25/23 23/22             61: 13/7 22/21
  9) 51: 23/22 13/8              55: 21/16 16/11 20/15 15/10
 10) 53: 24/21 21/16             44: 13/9 13/9 11/7 11/7
 11) 31: 25/22 24/23             61: 7/1 10/9
 12) 62: 25/23 13/7              21: 8/6 6/5
 13) 55: 8/3 8/3 13/8 7/2        64: 7/1 9/5
 14) 43: 8/4 8/5                 32: 9/6 9/7
 15) 63: 22/16 8/5               32: 7/4 6/4
 16) 41: 23/22 13/9              52: 6/1 8/6
 17) 33: 16/13 13/10 10/7 7/4    31: 8/5 5/4
 18) 53: 22/17 9/6               63: 7/1 7/4
 19) 31: 6/3 3/2                 64: 6/0 4/0
 20) 66: 17/11 22/16 16/10 11/5  63: 6/0 6/3
 21) 33: 25/22 22/19 19/16 10/7  63:
 22)  Doubles => 4                Takes
 23) 22: 16/14 14/12 12/10 10/8  61: 25/24 24/18
 24) 51:                         22: 5/3 5/3 18/16 16/14
 25) 61: 25/19 8/7               61: 14/8 8/7
 26) 64: 7/1 5/1                 61: 7/6 6/0
 27) 32: 25/23 6/3               22: 5/3 5/3 3/1 3/1
 28) 53: 23/18 18/15             51: 4/0 1/0
 29) 31: 15/12 12/11             41: 4/0 4/3
 30) 41: 11/7 7/6                42: 3/1 3/0
 31) 53: 23/18 18/15             22: 3/1 1/0 1/0 1/0
 32)  Losses 3 point                                               Wins 3 point and the match
