; [Site "BackgammonGalaxy"]
; [Match ID "2103052"]
; [Player 1 "lasse"]
; [Player 2 "bg_coach_expert"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.11"]
; [EventTime "20.02"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       bg_coach_expert : 0
  1) 21: 13/11 6/5               31: 24/21 21/20
  2) 43: 25/21 8/5               63: 25/22 22/16
  3) 32: 8/5 11/9                22: 25/23 6/4 6/4 23/21
  4) 43: 25/22 8/4               32: 25/23 24/21
  5) 43: 25/22 13/9              33: 8/5 8/5 8/5 21/18
  6) 43: 13/9 6/3                31: 23/22 18/15
  7) 32: 25/23 13/10             61: 25/24 24/18
  8) 43: 10/7 7/3                63: 25/22
  9) 65:                         64: 25/21 21/15
 10) 31: 25/22 24/23             43: 15/12 22/18
 11) 43: 25/22 22/18             62: 13/7 13/11
 12) 44:                         64: 13/7 11/7
 13) 11: 25/24 24/23 24/23 23/22 66: 18/12 13/7 12/6 12/6
 14) 64: 22/16 16/12             64: 25/21 21/15
 15) 42: 12/10 9/5               41: 25/21 6/5
 16) 31: 10/7 5/4                42: 25/21 6/4
 17) 21: 25/24 6/4               54: 25/21 6/1
 18) 54:                         54: 21/17 17/12
 19) 54:                         53: 4/1 12/7
 20) 21: 25/23                   61: 7/1 7/6
 21) 41:                         53: 6/1 7/4
 22) 54:                         61: 7/1 7/6
 23) 44:                         43: 5/1 4/1
 24) 64:                         61: 6/0 5/4
 25) 32: 25/22 9/7               53: 5/0 4/1
 26) 32: 23/20 22/20             53: 25/22 22/17
 27) 21: 9/8 22/20               55:
 28) 54: 20/16 23/18             33: 25/22 4/1 4/1
 29) 61: 18/12 16/15             62: 22/16 16/14
 30) 52: 20/15 12/10             62: 14/8 8/6
 31) 54: 23/18 22/18             64: 6/2 6/0
 32) 43: 25/21 22/19              Doubles => 2
 33)  Takes                      43: 25/21
 34) 42: 8/4 15/13               51: 25/24
 35) 52: 13/8 10/8               41: 24/23
 36) 52: 19/14 18/16             52: 23/21 21/16
 37) 64: 25/21 15/9              62: 25/23
 38) 32: 14/11 11/9              63:
 39)  Doubles => 4                Takes
 40) 31: 21/18 18/17             32: 23/21
 41) 42: 16/12 12/10             55:
 42) 61: 17/11 11/10             63:
 43) 61: 18/12 12/11             54:
 44) 21: 11/9 20/19              43:
 45) 41: 9/5 5/4                 61: 25/24
 46) 54: 19/14 14/10             31: 24/21 2/1
 47) 62: 25/23 10/4              42: 25/21
 48) 42: 25/21 21/19             11:
 49) 53: 19/14 14/11             42:
 50) 21: 11/9 21/20              63:
 51) 64: 20/14 14/10             33:
 52) 22: 10/8 8/6 6/4 23/21      65:
 53) 42: 10/6 6/4                52: 25/23
 54) 43: 10/6 6/3                52:
 55) 21: 9/7 21/20               53:
 56) 21: 20/18 18/17             62:
 57) 11: 7/6 6/5 4/3 5/4         52:
 58) 41: 9/8 9/5                 22:
 59) 31: 5/2 8/7                 42: 25/23
 60) 21: 25/23 17/16             31:
 61) 33: 5/2 5/2 8/5 8/5         43:
 62) 65: 7/1 16/11               21: 25/24
 63) 62: 25/23 11/5              54:
 64) 62: 23/17 17/15             43:
 65) 51: 15/10 10/9              43:
 66) 52: 9/4 23/21               52:
 67) 21: 4/2 2/1                 32:
 68) 64: 7/1 21/17               31:
 69) 32: 7/4 17/15               65:
 70) 51: 15/10 10/9              64:
 71) 62: 9/3 3/1                 33:
 72) 54: 5/0 4/0                 11:
 73) 32: 6/3 6/4                 63: 25/19 19/16
 74) 53: 5/0 3/0                 63: 16/13 13/7
 75) 61: 5/0 1/0                 65: 7/2 2/0
 76) 51: 4/0 1/0                 53: 1/0 1/0
 77) 42: 4/0 2/0                 51: 1/0 1/0
 78) 63: 4/0 3/0                 21: 1/0 1/0
 79) 63: 3/0 2/0                 43: 1/0 1/0
 80) 54: 1/0
      Wins 4 point and the match
