; [Site "BackgammonGalaxy"]
; [Match ID "2151849"]
; [Player 1 "lasse"]
; [Player 2 "ronirock"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "5,00/0"]
; [EventDate "2023.09.13"]
; [EventTime "17.13"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

5 point match

 Game 1
 lasse : 0                       ronirock : 0
  1) 62: 24/18 13/11             41: 24/20 8/7
  2) 64: 25/21 24/18             64: 25/21 20/14
  3) 66:                         31: 8/7 7/4
  4) 43: 25/22 25/21             32: 25/23 6/3
  5) 54: 25/21 25/20             22: 13/11 13/11 23/21 8/6
  6) 66: 21/15 21/15 15/9 15/9   52: 6/1 3/1
  7) 54: 20/15 15/11             53: 25/22 13/8
  8)  Doubles => 2                Takes
  9) 54: 13/9 13/8               31: 8/5 6/5
 10) 62: 9/3 3/1                 51: 25/24 25/20
 11) 53: 25/22 11/6              41: 24/20 6/5
 12) 21: 8/6 22/21               63: 13/7 7/4
 13) 31: 25/22 22/21             61: 25/24 13/7
 14) 52: 8/6 21/16               52: 11/6 11/9
 15) 53: 25/22 22/17             41: 24/20 9/8
 16) 31: 25/22 22/21             63: 20/14 7/4
 17) 64: 25/21 21/15             51: 25/24 14/9
 18) 42: 15/11 13/11             51: 9/4 5/4
 19) 63: 9/3 6/3                 64: 20/16 16/10
 20) 61:                         54: 21/16 16/12
 21) 52: 25/23                   65: 8/2 10/5
 22) 54:                         52: 12/7 20/18
 23) 43: 25/22                   21: 5/3 3/2
 24) 53: 25/22                   64: 18/12 7/3
 25)  Losses 5 point                                               Wins 5 point and the match
