; [Site "BackgammonGalaxy"]
; [Match ID "2472469"]
; [Player 1 "joust"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.28"]
; [EventTime "10.50"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 joust : 0                       lasse : 0
  1) 52: 13/8 24/22              43: 24/20 13/10
  2) 41: 6/5 5/1                 62: 25/23
  3) 43: 22/18 18/15             22: 25/23 25/23 6/4 6/4
  4) 21: 15/13 24/23             51: 23/22 13/8
  5) 42: 8/4 6/4                 55: 23/18 23/18 8/3 8/3
  6) 61: 8/2 2/1                 44: 22/18 18/14 18/14 18/14
  7) 53: 8/3 6/3                 61: 13/7 7/6
  8) 54: 23/18 13/9               Doubles => 2
  9)  Takes                      43: 14/10 10/7
 10) 62: 25/23 13/7              43: 7/3 6/3
 11) 31: 9/6 6/5                 31: 14/11 14/13
 12) 64: 8/2 13/9                43: 11/7 7/4
 13) 41: 9/5 7/6                 61: 8/2 3/2
 14) 41: 25/24 24/20             65: 8/2 6/1
 15) 41: 6/2 6/5                 41: 6/2 6/5
 16) 32:                         43: 5/1 13/10
 17) 53: 25/20 6/3               62: 10/4 4/2
 18) 65: 13/7 13/8               32: 4/1 3/1
 19) 63: 7/1 8/5                 42: 13/9 9/7
 20) 42: 20/18 5/1               51:
 21) 63: 18/12 12/9              54:
 22) 31: 9/6 6/5                 21:
 23) 31: 3/0 1/0                 32:
 24) 32: 5/2 2/0                 65: 25/19
 25) 61: 5/0 1/0                 44:
 26) 63: 5/0 5/2                 32:
 27) 31: 3/0 3/2                 54: 25/20 19/15
 28) 52: 4/0 2/0                 64: 20/14 14/10
 29) 62: 4/0 2/0                 52: 10/5 15/13
 30) 54: 2/0 2/0                 65: 13/8 8/2
 31) 32: 1/0 1/0
      Wins 3 point and the match
