; [Site "BackgammonGalaxy"]
; [Match ID "2494707"]
; [Player 1 "lasse"]
; [Player 2 "ninoplayer74"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.29"]
; [EventTime "11.53"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ninoplayer74 : 0
  1) 41: 13/9 24/23              63: 24/18 18/15
  2) 55: 6/1 6/1 8/3 8/3         62: 25/23 23/17
  3) 42: 25/23 13/9              33: 17/14 14/11 13/10 13/10
  4) 43: 13/10 24/20             42: 25/21 13/11
  5) 64: 20/16 16/10             63: 11/5 8/5
  6) 53: 9/4 9/6                 44: 25/21 8/4 8/4 21/17
  7) 32: 25/22 10/8              62: 25/23 23/17
  8) 51: 25/24 13/8              65: 25/20 20/14
  9) 63: 23/17 17/14             55: 25/20 20/15 6/1 6/1
 10) 22: 25/23 25/23 13/11 11/9  33:
 11) 44: 14/10 6/2 6/2 22/18     63:
 12)  Doubles => 2                Takes
 13) 63: 23/17 17/14             61:
 14) 63: 23/17 14/11             54: 25/21 25/20
 15) 41: 9/5 5/4                 51: 25/20
 16) 52: 11/6 6/4                42:
 17) 11: 6/5 6/5 23/22 17/16     41:
 18) 53: 22/17 16/13             41:
 19) 53: 17/14 14/9              64: 25/19
 20) 31: 9/6 6/5                 21:
 21) 64: 18/14 13/7              33:
 22) 52: 14/9 5/3                65: 25/19
 23) 54: 10/6 6/1                42:
 24) 11: 8/7 7/6 7/6 9/8         63:
 25) 66: 8/2 6/0 6/0 5/0         61: 25/19
 26) 53: 5/0 3/0                 66: 25/19 13/7 13/7 19/13
 27) 21: 2/0 1/0                 21: 19/17 7/6
 28) 51: 4/0 1/0                 42: 17/13 13/11
 29) 53: 4/0 3/0                 44: 10/6 10/6 7/3 13/9
 30) 21: 2/0 1/0                 52: 11/6 9/7
 31) 63: 3/0 2/0
      Wins 3 point and the match
